INJECTION SCHEME : 25ns_336b_336_210_252_12bpi_28inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	311,		25,		12,		0,	1
2,	1,	ring_2,	311,		25,		12,		0,	1
3,	2,	ring_1,	781,		25,		12,		0,	1
4,	2,	ring_2,	781,		25,		12,		0,	1
5,	3,	ring_1,	1251,		25,		12,		0,	1
6,	3,	ring_2,	1251,		25,		12,		0,	1
7,	4,	ring_1,	1721,		25,		12,		0,	1
8,	4,	ring_2,	1721,		25,		12,		0,	1
9,	5,	ring_1,	2191,		25,		12,		0,	1
10,	5,	ring_2,	2191,		25,		12,		0,	1
11,	6,	ring_1,	2661,		25,		12,		0,	1
12,	6,	ring_2,	2661,		25,		12,		0,	1
13,	7,	ring_1,	3131,		25,		12,		0,	1
14,	7,	ring_2,	3131,		25,		12,		0,	1
15,	8,	ring_1,	9131,		25,		12,		0,	1
16,	8,	ring_2,	9131,		25,		12,		0,	1
17,	9,	ring_1,	9601,		25,		12,		0,	1
18,	9,	ring_2,	9601,		25,		12,		0,	1
19,	10,	ring_1,	10071,		25,		12,		0,	1
20,	10,	ring_2,	10071,		25,		12,		0,	1
21,	11,	ring_1,	10541,		25,		12,		0,	1
22,	11,	ring_2,	10541,		25,		12,		0,	1
23,	12,	ring_1,	11011,		25,		12,		0,	1
24,	12,	ring_2,	11011,		25,		12,		0,	1
25,	13,	ring_1,	11481,		25,		12,		0,	1
26,	13,	ring_2,	11481,		25,		12,		0,	1
27,	14,	ring_1,	11951,		25,		12,		0,	1
28,	14,	ring_2,	11951,		25,		12,		0,	1
29,	15,	ring_1,	18071,		25,		12,		0,	1
30,	15,	ring_2,	18071,		25,		12,		0,	1
31,	16,	ring_1,	18541,		25,		12,		0,	1
32,	16,	ring_2,	18541,		25,		12,		0,	1
33,	17,	ring_1,	19011,		25,		12,		0,	1
34,	17,	ring_2,	19011,		25,		12,		0,	1
35,	18,	ring_1,	19481,		25,		12,		0,	1
36,	18,	ring_2,	19481,		25,		12,		0,	1
37,	19,	ring_1,	19951,		25,		12,		0,	1
38,	19,	ring_2,	19951,		25,		12,		0,	1
39,	20,	ring_1,	20421,		25,		12,		0,	1
40,	20,	ring_2,	20421,		25,		12,		0,	1
41,	21,	ring_1,	20891,		25,		12,		0,	1
42,	21,	ring_2,	20891,		25,		12,		0,	1
43,	22,	ring_1,	27011,		25,		12,		0,	1
44,	22,	ring_2,	27011,		25,		12,		0,	1
45,	23,	ring_1,	27481,		25,		12,		0,	1
46,	23,	ring_2,	27481,		25,		12,		0,	1
47,	24,	ring_1,	27951,		25,		12,		0,	1
48,	24,	ring_2,	27951,		25,		12,		0,	1
49,	25,	ring_1,	28421,		25,		12,		0,	1
50,	25,	ring_2,	28421,		25,		12,		0,	1
51,	26,	ring_1,	28891,		25,		12,		0,	1
52,	26,	ring_2,	28891,		25,		12,		0,	1
53,	27,	ring_1,	29361,		25,		12,		0,	1
54,	27,	ring_2,	29361,		25,		12,		0,	1
55,	28,	ring_1,	29831,		25,		12,		0,	1
56,	28,	ring_2,	29831,		25,		12,		0,	1
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/336
Tot number of B2 bunches(probe/Nominal) : 0/336

Tot number of B1 injections : 28
Tot number of B2 injections : 28

Collisions at IP1&5: 336
B1-empty at IP1&5: 0
B2-empty at IP1&5: 0
Empty-empty at IP1&5: 3228

Collisions at IP2: 210
B1-empty at IP2: 126
B2-empty at IP2: 126
Empty-empty at IP2: 3102

Collisions at IP8: 252
B1-empty at IP8: 84
B2-empty at IP8: 84
Empty-empty at IP8: 3144

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
421,311,-41.18
891,781,-41.18
1361,1251,-41.18
1831,1721,-41.18
2301,2191,-41.18
2771,2661,-41.18
3241,3131,-41.18
9241,9131,-41.18
9711,9601,-41.18
10181,10071,-41.18
10651,10541,-41.18
11121,11011,-41.18
11591,11481,-41.18
12061,11951,-41.18
18181,18071,-41.18
18651,18541,-41.18
19121,19011,-41.18
19591,19481,-41.18
20061,19951,-41.18
20531,20421,-41.18
21001,20891,-41.18
27121,27011,-41.18
27591,27481,-41.18
28061,27951,-41.18
28531,28421,-41.18
29001,28891,-41.18
29471,29361,-41.18
29941,29831,-41.18
411,311,-37.43
421,321,-37.43
881,781,-37.43
891,791,-37.43
1351,1251,-37.43
1361,1261,-37.43
1821,1721,-37.43
1831,1731,-37.43
2291,2191,-37.43
2301,2201,-37.43
2761,2661,-37.43
2771,2671,-37.43
3231,3131,-37.43
3241,3141,-37.43
9231,9131,-37.43
9241,9141,-37.43
9701,9601,-37.43
9711,9611,-37.43
10171,10071,-37.43
10181,10081,-37.43
10641,10541,-37.43
10651,10551,-37.43
11111,11011,-37.43
11121,11021,-37.43
11581,11481,-37.43
11591,11491,-37.43
12051,11951,-37.43
12061,11961,-37.43
18171,18071,-37.43
18181,18081,-37.43
18641,18541,-37.43
18651,18551,-37.43
19111,19011,-37.43
19121,19021,-37.43
19581,19481,-37.43
19591,19491,-37.43
20051,19951,-37.43
20061,19961,-37.43
20521,20421,-37.43
20531,20431,-37.43
20991,20891,-37.43
21001,20901,-37.43
27111,27011,-37.43
27121,27021,-37.43
27581,27481,-37.43
27591,27491,-37.43
28051,27951,-37.43
28061,27961,-37.43
28521,28421,-37.43
28531,28431,-37.43
28991,28891,-37.43
29001,28901,-37.43
29461,29361,-37.43
29471,29371,-37.43
29931,29831,-37.43
29941,29841,-37.43
401,311,-33.69
411,321,-33.69
421,331,-33.69
871,781,-33.69
881,791,-33.69
891,801,-33.69
1341,1251,-33.69
1351,1261,-33.69
1361,1271,-33.69
1811,1721,-33.69
1821,1731,-33.69
1831,1741,-33.69
2281,2191,-33.69
2291,2201,-33.69
2301,2211,-33.69
2751,2661,-33.69
2761,2671,-33.69
2771,2681,-33.69
3221,3131,-33.69
3231,3141,-33.69
3241,3151,-33.69
9221,9131,-33.69
9231,9141,-33.69
9241,9151,-33.69
9691,9601,-33.69
9701,9611,-33.69
9711,9621,-33.69
10161,10071,-33.69
10171,10081,-33.69
10181,10091,-33.69
10631,10541,-33.69
10641,10551,-33.69
10651,10561,-33.69
11101,11011,-33.69
11111,11021,-33.69
11121,11031,-33.69
11571,11481,-33.69
11581,11491,-33.69
11591,11501,-33.69
12041,11951,-33.69
12051,11961,-33.69
12061,11971,-33.69
18161,18071,-33.69
18171,18081,-33.69
18181,18091,-33.69
18631,18541,-33.69
18641,18551,-33.69
18651,18561,-33.69
19101,19011,-33.69
19111,19021,-33.69
19121,19031,-33.69
19571,19481,-33.69
19581,19491,-33.69
19591,19501,-33.69
20041,19951,-33.69
20051,19961,-33.69
20061,19971,-33.69
20511,20421,-33.69
20521,20431,-33.69
20531,20441,-33.69
20981,20891,-33.69
20991,20901,-33.69
21001,20911,-33.69
27101,27011,-33.69
27111,27021,-33.69
27121,27031,-33.69
27571,27481,-33.69
27581,27491,-33.69
27591,27501,-33.69
28041,27951,-33.69
28051,27961,-33.69
28061,27971,-33.69
28511,28421,-33.69
28521,28431,-33.69
28531,28441,-33.69
28981,28891,-33.69
28991,28901,-33.69
29001,28911,-33.69
29451,29361,-33.69
29461,29371,-33.69
29471,29381,-33.69
29921,29831,-33.69
29931,29841,-33.69
29941,29851,-33.69
391,311,-29.95
401,321,-29.95
411,331,-29.95
421,341,-29.95
861,781,-29.95
871,791,-29.95
881,801,-29.95
891,811,-29.95
1331,1251,-29.95
1341,1261,-29.95
1351,1271,-29.95
1361,1281,-29.95
1801,1721,-29.95
