INJECTION SCHEME : 25ns8b4e_1908b_1896_1371_1704_27inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		25,		12,		0,	1,	150
2,	1,	ring_2,	201,		25,		12,		0,	1,	80
3,	2,	ring_1,	951,		25,		56,		0,	1,	80
4,	2,	ring_2,	951,		25,		56,		0,	1,	80
5,	3,	ring_1,	2101,		25,		48,		1400,	2,	80
6,	3,	ring_2,	2101,		25,		48,		1400,	2,	80
7,	4,	ring_1,	3491,		25,		56,		0,	1,	80
8,	4,	ring_2,	3491,		25,		56,		0,	1,	80
9,	5,	ring_1,	4641,		25,		48,		1400,	2,	80
10,	5,	ring_2,	4641,		25,		48,		1400,	2,	80
11,	6,	ring_1,	6031,		25,		56,		0,	1,	80
12,	6,	ring_2,	6031,		25,		56,		0,	1,	80
13,	7,	ring_1,	7351,		25,		56,		0,	1,	80
14,	7,	ring_2,	7351,		25,		56,		0,	1,	80
15,	8,	ring_1,	8501,		25,		48,		1400,	2,	80
16,	8,	ring_2,	8501,		25,		48,		1400,	2,	80
17,	9,	ring_1,	9891,		25,		56,		0,	1,	80
18,	9,	ring_2,	9891,		25,		56,		0,	1,	80
19,	10,	ring_1,	11041,		25,		48,		1400,	2,	80
20,	10,	ring_2,	11041,		25,		48,		1400,	2,	80
21,	11,	ring_1,	12431,		25,		56,		0,	1,	80
22,	11,	ring_2,	12431,		25,		56,		0,	1,	80
23,	12,	ring_1,	13581,		25,		48,		1400,	2,	80
24,	12,	ring_2,	13581,		25,		48,		1400,	2,	80
25,	13,	ring_1,	14971,		25,		56,		0,	1,	80
26,	13,	ring_2,	14971,		25,		56,		0,	1,	80
27,	14,	ring_1,	16291,		25,		56,		0,	1,	80
28,	14,	ring_2,	16291,		25,		56,		0,	1,	80
29,	15,	ring_1,	17441,		25,		48,		1400,	2,	80
30,	15,	ring_2,	17441,		25,		48,		1400,	2,	80
31,	16,	ring_1,	18831,		25,		56,		0,	1,	80
32,	16,	ring_2,	18831,		25,		56,		0,	1,	80
33,	17,	ring_1,	19981,		25,		48,		1400,	2,	80
34,	17,	ring_2,	19981,		25,		48,		1400,	2,	80
35,	18,	ring_1,	21371,		25,		56,		0,	1,	80
36,	18,	ring_2,	21371,		25,		56,		0,	1,	80
37,	19,	ring_1,	22521,		25,		48,		1400,	2,	80
38,	19,	ring_2,	22521,		25,		48,		1400,	2,	80
39,	20,	ring_1,	23911,		25,		56,		0,	1,	80
40,	20,	ring_2,	23911,		25,		56,		0,	1,	80
41,	21,	ring_1,	25231,		25,		56,		0,	1,	80
42,	21,	ring_2,	25231,		25,		56,		0,	1,	80
43,	22,	ring_1,	26381,		25,		48,		1400,	2,	80
44,	22,	ring_2,	26381,		25,		48,		1400,	2,	80
45,	23,	ring_1,	27771,		25,		56,		0,	1,	80
46,	23,	ring_2,	27771,		25,		56,		0,	1,	80
47,	24,	ring_1,	28921,		25,		48,		1400,	2,	80
48,	24,	ring_2,	28921,		25,		48,		1400,	2,	80
49,	25,	ring_1,	30311,		25,		56,		0,	1,	80
50,	25,	ring_2,	30311,		25,		56,		0,	1,	80
51,	26,	ring_1,	31461,		25,		48,		1400,	2,	80
52,	26,	ring_2,	31461,		25,		48,		1400,	2,	80
53,	27,	ring_1,	32851,		25,		56,		0,	1,	80
54,	27,	ring_2,	32851,		25,		56,		0,	1,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 1/1907
Tot number of B2 bunches(probe/Nominal) : 1/1907

Tot number of B1 injections : 27
Tot number of B2 injections : 27

Collisions at IP1&5 : 1908
B1-empty at IP1&5 : 0
B2-empty at IP1&5 : 0
Empty-empty at IP1&5 : 1656

Collisions at IP2 : 1908
B1-empty at IP2 : 0
B2-empty at IP2 : 0
Empty-empty at IP2 : 1656

Collisions at IP8 : 1704
B1-empty at IP8 : 204
B2-empty at IP8 : 204
Empty-empty at IP8 : 1860

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1121,951,-63.64
1131,961,-63.64
1141,971,-63.64
1191,1021,-63.64
1241,1071,-63.64
1251,1081,-63.64
1261,1091,-63.64
1311,1141,-63.64
1361,1191,-63.64
1371,1201,-63.64
1381,1211,-63.64
1431,1261,-63.64
1481,1311,-63.64
1491,1321,-63.64
1501,1331,-63.64
1551,1381,-63.64
1601,1431,-63.64
1611,1441,-63.64
1621,1451,-63.64
1671,1501,-63.64
1721,1551,-63.64
1731,1561,-63.64
1741,1571,-63.64
2271,2101,-63.64
2281,2111,-63.64
2291,2121,-63.64
2301,2131,-63.64
2311,2141,-63.64
2321,2151,-63.64
2331,2161,-63.64
2341,2171,-63.64
2351,2181,-63.64
2361,2191,-63.64
2371,2201,-63.64
2381,2211,-63.64
2391,2221,-63.64
2401,2231,-63.64
2411,2241,-63.64
2421,2251,-63.64
2431,2261,-63.64
2441,2271,-63.64
2451,2281,-63.64
2461,2291,-63.64
2471,2301,-63.64
2481,2311,-63.64
2491,2321,-63.64
2501,2331,-63.64
2511,2341,-63.64
2521,2351,-63.64
2531,2361,-63.64
2541,2371,-63.64
2551,2381,-63.64
2561,2391,-63.64
2571,2401,-63.64
2661,2491,-63.64
2671,2501,-63.64
2681,2511,-63.64
2691,2521,-63.64
2701,2531,-63.64
2711,2541,-63.64
2721,2551,-63.64
2731,2561,-63.64
2741,2571,-63.64
2831,2661,-63.64
2841,2671,-63.64
2851,2681,-63.64
2861,2691,-63.64
2871,2701,-63.64
2881,2711,-63.64
2891,2721,-63.64
2901,2731,-63.64
2911,2741,-63.64
2921,2751,-63.64
2931,2761,-63.64
2941,2771,-63.64
2951,2781,-63.64
2961,2791,-63.64
2971,2801,-63.64
2981,2811,-63.64
2991,2821,-63.64
3001,2831,-63.64
3011,2841,-63.64
3021,2851,-63.64
3031,2861,-63.64
3041,2871,-63.64
3051,2881,-63.64
3061,2891,-63.64
3071,2901,-63.64
3081,2911,-63.64
3091,2921,-63.64
3101,2931,-63.64
3111,2941,-63.64
3121,2951,-63.64
3131,2961,-63.64
3661,3491,-63.64
3671,3501,-63.64
3681,3511,-63.64
3731,3561,-63.64
3781,3611,-63.64
3791,3621,-63.64
3801,3631,-63.64
3851,3681,-63.64
3901,3731,-63.64
3911,3741,-63.64
3921,3751,-63.64
3971,3801,-63.64
4021,3851,-63.64
4031,3861,-63.64
4041,3871,-63.64
4091,3921,-63.64
4141,3971,-63.64
4151,3981,-63.64
4161,3991,-63.64
4211,4041,-63.64
4261,4091,-63.64
4271,4101,-63.64
4281,4111,-63.64
4811,4641,-63.64
4821,4651,-63.64
4831,4661,-63.64
4841,4671,-63.64
4851,4681,-63.64
4861,4691,-63.64
4871,4701,-63.64
4881,4711,-63.64
4891,4721,-63.64
4901,4731,-63.64
4911,4741,-63.64
4921,4751,-63.64
4931,4761,-63.64
4941,4771,-63.64
4951,4781,-63.64
4961,4791,-63.64
4971,4801,-63.64
4981,4811,-63.64
4991,4821,-63.64
5001,4831,-63.64
5011,4841,-63.64
5021,4851,-63.64
5031,4861,-63.64
5041,4871,-63.64
5051,4881,-63.64
5061,4891,-63.64
5071,4901,-63.64
5081,4911,-63.64
5091,4921,-63.64
5101,4931,-63.64
5111,4941,-63.64
5201,5031,-63.64
5211,5041,-63.64
5221,5051,-63.64
5231,5061,-63.64
5241,5071,-63.64
5251,5081,-63.64
5261,5091,-63.64
5271,5101,-63.64
5281,5111,-63.64
5371,5201,-63.64
5381,5211,-63.64
5391,5221,-63.64
5401,5231,-63.64
5411,5241,-63.64
5421,5251,-63.64
5431,5261,-63.64
5441,5271,-63.64
5451,5281,-63.64
5461,5291,-63.64
5471,5301,-63.64
5481,5311,-63.64
5491,5321,-63.64
5501,5331,-63.64
5511,5341,-63.64
5521,5351,-63.64
5531,5361,-63.64
5541,5371,-63.64
5551,5381,-63.64
5561,5391,-63.64
5571,5401,-63.64
5581,5411,-63.64
5591,5421,-63.64
5601,5431,-63.64
5611,5441,-63.64
5621,5451,-63.64
5631,5461,-63.64
5641,5471,-63.64
5651,5481,-63.64
5661,5491,-63.64
5671,5501,-63.64
6201,6031,-63.64
6211,6041,-63.64
6221,6051,-63.64
