INJECTION SCHEME : 25ns_169b_157_114_120_48bpi_6inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	41,		0,		1,		0,	1
2,	1,	ring_2,	41,		0,		1,		0,	1
3,	2,	ring_2,	991,		25,		12,		0,	1
4,	2,	ring_1,	1291,		25,		12,		0,	1
5,	3,	ring_1,	3541,		25,		12,		0,	1
6,	3,	ring_2,	3541,		25,		12,		0,	1
7,	4,	ring_1,	9841,		25,		48,		0,	1
8,	4,	ring_2,	9841,		25,		48,		0,	1
9,	5,	ring_1,	18781,		25,		48,		0,	1
10,	5,	ring_2,	18781,		25,		48,		0,	1
11,	6,	ring_1,	27721,		25,		48,		0,	1
12,	6,	ring_2,	27721,		25,		48,		0,	1
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/169
Tot number of B2 bunches(probe/Nominal) : 0/169

Tot number of B1 injections : 6
Tot number of B2 injections : 6

Collisions at IP1&5: 157
B1-empty at IP1&5: 12
B2-empty at IP1&5: 12
Empty-empty at IP1&5: 3383

Collisions at IP2: 114
B1-empty at IP2: 55
B2-empty at IP2: 55
Empty-empty at IP2: 3340

Collisions at IP8: 120
B1-empty at IP8: 49
B2-empty at IP8: 49
Empty-empty at IP8: 3346

LONG RANGE COLL IN IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
10011,9841,-63.64
10021,9851,-63.64
10031,9861,-63.64
10041,9871,-63.64
10051,9881,-63.64
10061,9891,-63.64
10071,9901,-63.64
10081,9911,-63.64
10091,9921,-63.64
10101,9931,-63.64
10111,9941,-63.64
10121,9951,-63.64
10131,9961,-63.64
10141,9971,-63.64
10151,9981,-63.64
10161,9991,-63.64
10171,10001,-63.64
10181,10011,-63.64
10191,10021,-63.64
10201,10031,-63.64
10211,10041,-63.64
10221,10051,-63.64
10231,10061,-63.64
10241,10071,-63.64
10251,10081,-63.64
10261,10091,-63.64
10271,10101,-63.64
10281,10111,-63.64
10291,10121,-63.64
10301,10131,-63.64
10311,10141,-63.64
18951,18781,-63.64
18961,18791,-63.64
18971,18801,-63.64
18981,18811,-63.64
18991,18821,-63.64
19001,18831,-63.64
19011,18841,-63.64
19021,18851,-63.64
19031,18861,-63.64
19041,18871,-63.64
19051,18881,-63.64
19061,18891,-63.64
19071,18901,-63.64
19081,18911,-63.64
19091,18921,-63.64
19101,18931,-63.64
19111,18941,-63.64
19121,18951,-63.64
19131,18961,-63.64
19141,18971,-63.64
19151,18981,-63.64
19161,18991,-63.64
19171,19001,-63.64
19181,19011,-63.64
19191,19021,-63.64
19201,19031,-63.64
19211,19041,-63.64
19221,19051,-63.64
19231,19061,-63.64
19241,19071,-63.64
19251,19081,-63.64
27891,27721,-63.64
27901,27731,-63.64
27911,27741,-63.64
27921,27751,-63.64
27931,27761,-63.64
27941,27771,-63.64
27951,27781,-63.64
27961,27791,-63.64
27971,27801,-63.64
27981,27811,-63.64
27991,27821,-63.64
28001,27831,-63.64
28011,27841,-63.64
28021,27851,-63.64
28031,27861,-63.64
28041,27871,-63.64
28051,27881,-63.64
28061,27891,-63.64
28071,27901,-63.64
28081,27911,-63.64
28091,27921,-63.64
28101,27931,-63.64
28111,27941,-63.64
28121,27951,-63.64
28131,27961,-63.64
28141,27971,-63.64
28151,27981,-63.64
28161,27991,-63.64
28171,28001,-63.64
28181,28011,-63.64
28191,28021,-63.64
10001,9841,-59.89
10011,9851,-59.89
10021,9861,-59.89
10031,9871,-59.89
10041,9881,-59.89
10051,9891,-59.89
10061,9901,-59.89
10071,9911,-59.89
10081,9921,-59.89
10091,9931,-59.89
10101,9941,-59.89
10111,9951,-59.89
10121,9961,-59.89
10131,9971,-59.89
10141,9981,-59.89
10151,9991,-59.89
10161,10001,-59.89
10171,10011,-59.89
10181,10021,-59.89
10191,10031,-59.89
10201,10041,-59.89
10211,10051,-59.89
10221,10061,-59.89
10231,10071,-59.89
10241,10081,-59.89
10251,10091,-59.89
10261,10101,-59.89
10271,10111,-59.89
10281,10121,-59.89
10291,10131,-59.89
10301,10141,-59.89
10311,10151,-59.89
18941,18781,-59.89
18951,18791,-59.89
18961,18801,-59.89
18971,18811,-59.89
18981,18821,-59.89
18991,18831,-59.89
19001,18841,-59.89
19011,18851,-59.89
19021,18861,-59.89
19031,18871,-59.89
19041,18881,-59.89
19051,18891,-59.89
19061,18901,-59.89
19071,18911,-59.89
19081,18921,-59.89
19091,18931,-59.89
19101,18941,-59.89
19111,18951,-59.89
19121,18961,-59.89
19131,18971,-59.89
19141,18981,-59.89
19151,18991,-59.89
19161,19001,-59.89
19171,19011,-59.89
19181,19021,-59.89
19191,19031,-59.89
19201,19041,-59.89
19211,19051,-59.89
19221,19061,-59.89
19231,19071,-59.89
19241,19081,-59.89
19251,19091,-59.89
27881,27721,-59.89
27891,27731,-59.89
27901,27741,-59.89
27911,27751,-59.89
27921,27761,-59.89
27931,27771,-59.89
27941,27781,-59.89
27951,27791,-59.89
27961,27801,-59.89
27971,27811,-59.89
27981,27821,-59.89
27991,27831,-59.89
28001,27841,-59.89
28011,27851,-59.89
28021,27861,-59.89
28031,27871,-59.89
28041,27881,-59.89
28051,27891,-59.89
28061,27901,-59.89
28071,27911,-59.89
28081,27921,-59.89
28091,27931,-59.89
28101,27941,-59.89
28111,27951,-59.89
28121,27961,-59.89
28131,27971,-59.89
28141,27981,-59.89
28151,27991,-59.89
28161,28001,-59.89
28171,28011,-59.89
28181,28021,-59.89
28191,28031,-59.89
9991,9841,-56.15
10001,9851,-56.15
10011,9861,-56.15
10021,9871,-56.15
10031,9881,-56.15
10041,9891,-56.15
10051,9901,-56.15
10061,9911,-56.15
10071,9921,-56.15
10081,9931,-56.15
10091,9941,-56.15
10101,9951,-56.15
10111,9961,-56.15
10121,9971,-56.15
10131,9981,-56.15
10141,9991,-56.15
10151,10001,-56.15
10161,10011,-56.15
10171,10021,-56.15
10181,10031,-56.15
10191,10041,-56.15
10201,10051,-56.15
10211,10061,-56.15
10221,10071,-56.15
10231,10081,-56.15
10241,10091,-56.15
10251,10101,-56.15
10261,10111,-56.15
10271,10121,-56.15
10281,10131,-56.15
10291,10141,-56.15
10301,10151,-56.15
10311,10161,-56.15
18931,18781,-56.15
18941,18791,-56.15
18951,18801,-56.15
18961,18811,-56.15
18971,18821,-56.15
18981,18831,-56.15
18991,18841,-56.15
19001,18851,-56.15
19011,18861,-56.15
19021,18871,-56.15
19031,18881,-56.15
19041,18891,-56.15
19051,18901,-56.15
19061,18911,-56.15
19071,18921,-56.15
19081,18931,-56.15
19091,18941,-56.15
19101,18951,-56.15
19111,18961,-56.15
19121,18971,-56.15
19131,18981,-56.15
19141,18991,-56.15
19151,19001,-56.15
19161,19011,-56.15
19171,19021,-56.15
19181,19031,-56.15
19191,19041,-56.15
19201,19051,-56.15
19211,19061,-56.15
19221,19071,-56.15
19231,19081,-56.15
19241,19091,-56.15
19251,19101,-56.15
27871,27721,-56.15
27881,27731,-56.15
27891,27741,-56.15
27901,27751,-56.15
27911,27761,-56.15
27921,27771,-56.15
27931,27781,-56.15
27941,27791,-56.15
27951,27801,-56.15
27961,27811,-56.15
27971,27821,-56.15
27981,27831,-56.15
27991,27841,-56.15
28001,27851,-56.15
28011,27861,-56.15
28021,27871,-56.15
28031,27881,-56.15
28041,27891,-56.15
28051,27901,-56.15
28061,27911,-56.15
28071,27921,-56.15
28081,27931,-56.15
28091,27941,-56.15
28101,27951,-56.15
28111,27961,-56.15
28121,27971,-56.15
28131,27981,-56.15
28141,27991,-56.15
28151,28001,-56.15
28161,28011,-56.15
28171,28021,-56.15
28181,28031,-56.15
28191,28041,-56.15
9981,9841,-52.41
9991,9851,-52.41
10001,9861,-52.41
10011,9871,-52.41
10021,9881,-52.41
10031,9891,-52.41
10041,9901,-52.41
10051,9911,-52.41
10061,9921,-52.41
10071,9931,-52.41
10081,9941,-52.41
10091,9951,-52.41
10101,9961,-52.41
10111,9971,-52.41
10121,9981,-52.41
10131,9991,-52.41
10141,10001,-52.41
10151,10011,-52.41
10161,10021,-52.41
10171,10031,-52.41
10181,10041,-52.41
10191,10051,-52.41
10201,10061,-52.41
10211,10071,-52.41
10221,10081,-52.41
10231,10091,-52.41
10241,10101,-52.41
10251,10111,-52.41
10261,10121,-52.41
10271,10131,-52.41
10281,10141,-52.41
10291,10151,-52.41
10301,10161,-52.41
10311,10171,-52.41
18921,18781,-52.41
18931,18791,-52.41
18941,18801,-52.41
18951,18811,-52.41
18961,18821,-52.41
18971,18831,-52.41
18981,18841,-52.41
18991,18851,-52.41
19001,18861,-52.41
19011,18871,-52.41
19021,18881,-52.41
19031,18891,-52.41
19041,18901,-52.41
19051,18911,-52.41
19061,18921,-52.41
19071,18931,-52.41
19081,18941,-52.41
19091,18951,-52.41
19101,18961,-52.41
19111,18971,-52.41
19121,18981,-52.41
19131,18991,-52.41
19141,19001,-52.41
19151,19011,-52.41
19161,19021,-52.41
19171,19031,-52.41
19181,19041,-52.41
19191,19051,-52.41
19201,19061,-52.41
19211,19071,-52.41
19221,19081,-52.41
19231,19091,-52.41
19241,19101,-52.41
19251,19111,-52.41
27861,27721,-52.41
27871,27731,-52.41
27881,27741,-52.41
27891,27751,-52.41
27901,27761,-52.41
27911,27771,-52.41
27921,27781,-52.41
27931,27791,-52.41
27941,27801,-52.41
27951,27811,-52.41
27961,27821,-52.41
27971,27831,-52.41
27981,27841,-52.41
27991,27851,-52.41
28001,27861,-52.41
28011,27871,-52.41
28021,27881,-52.41
28031,27891,-52.41
28041,27901,-52.41
28051,27911,-52.41
28061,27921,-52.41
28071,27931,-52.41
28081,27941,-52.41
28091,27951,-52.41
28101,27961,-52.41
28111,27971,-52.41
28121,27981,-52.41
28131,27991,-52.41
28141,28001,-52.41
28151,28011,-52.41
28161,28021,-52.41
28171,28031,-52.41
28181,28041,-52.41
28191,28051,-52.41
9971,9841,-48.66
9981,9851,-48.66
9991,9861,-48.66
10001,9871,-48.66
10011,9881,-48.66
10021,9891,-48.66
10031,9901,-48.66
10041,9911,-48.66
10051,9921,-48.66
10061,9931,-48.66
10071,9941,-48.66
10081,9951,-48.66
10091,9961,-48.66
10101,9971,-48.66
10111,9981,-48.66
10121,9991,-48.66
10131,10001,-48.66
10141,10011,-48.66
10151,10021,-48.66
10161,10031,-48.66
10171,10041,-48.66
10181,10051,-48.66
10191,10061,-48.66
10201,10071,-48.66
10211,10081,-48.66
10221,10091,-48.66
10231,10101,-48.66
10241,10111,-48.66
10251,10121,-48.66
10261,10131,-48.66
10271,10141,-48.66
10281,10151,-48.66
10291,10161,-48.66
10301,10171,-48.66
10311,10181,-48.66
18911,18781,-48.66
18921,18791,-48.66
18931,18801,-48.66
18941,18811,-48.66
18951,18821,-48.66
18961,18831,-48.66
18971,18841,-48.66
18981,18851,-48.66
18991,18861,-48.66
19001,18871,-48.66
19011,18881,-48.66
19021,18891,-48.66
19031,18901,-48.66
19041,18911,-48.66
19051,18921,-48.66
19061,18931,-48.66
19071,18941,-48.66
19081,18951,-48.66
19091,18961,-48.66
19101,18971,-48.66
19111,18981,-48.66
19121,18991,-48.66
19131,19001,-48.66
19141,19011,-48.66
19151,19021,-48.66
19161,19031,-48.66
19171,19041,-48.66
19181,19051,-48.66
19191,19061,-48.66
19201,19071,-48.66
19211,19081,-48.66
19221,19091,-48.66
19231,19101,-48.66
19241,19111,-48.66
19251,19121,-48.66
27851,27721,-48.66
27861,27731,-48.66
27871,27741,-48.66
27881,27751,-48.66
27891,27761,-48.66
27901,27771,-48.66
27911,27781,-48.66
