INJECTION SCHEME : Multi_55b_11_28_16_4bpi14inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	1,		0,		1,		1000,	3
2,	1,	ring_2,	1,		0,		1,		1000,	3
3,	2,	ring_2,	1201,		0,		1,		1000,	4
4,	2,	ring_1,	2211,		0,		1,		1000,	4
5,	3,	ring_2,	2801,		0,		1,		1000,	4
6,	3,	ring_1,	3811,		0,		1,		1000,	4
7,	4,	ring_2,	4401,		0,		1,		1000,	4
8,	4,	ring_1,	8741,		0,		1,		1000,	4
9,	5,	ring_2,	8741,		0,		1,		1000,	4
10,	5,	ring_1,	11111,		0,		1,		1000,	4
11,	6,	ring_1,	12711,		0,		1,		1000,	4
12,	7,	ring_1,	14311,		0,		1,		1000,	4
13,	6,	ring_2,	14491,		0,		1,		1000,	4
14,	8,	ring_1,	16091,		0,		1,		1000,	4
15,	7,	ring_2,	16091,		0,		1,		1000,	4
16,	9,	ring_1,	17991,		0,		1,		1000,	4
17,	8,	ring_2,	20021,		0,		1,		1000,	4
18,	9,	ring_2,	21621,		0,		1,		1000,	4
19,	10,	ring_2,	23221,		0,		1,		1000,	4
20,	10,	ring_1,	23431,		0,		1,		1000,	4
21,	11,	ring_1,	25031,		0,		1,		1000,	4
22,	11,	ring_2,	26901,		0,		1,		1000,	4
23,	12,	ring_1,	27931,		0,		1,		1000,	4
24,	12,	ring_2,	28911,		0,		1,		1000,	4
25,	13,	ring_1,	29531,		0,		1,		1000,	4
26,	13,	ring_2,	30511,		0,		1,		1000,	4
27,	14,	ring_1,	31131,		0,		1,		1000,	4
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/55
Tot number of B2 bunches(probe/Nominal) : 0/55

Tot number of B1 injections : 14
Tot number of B2 injections : 13

Collisions at IP1&5: 11
B1-empty at IP1&5: 44
B2-empty at IP1&5: 40
Empty-empty at IP1&5: 3469

Collisions at IP2: 0
B1-empty at IP2: 55
B2-empty at IP2: 51
Empty-empty at IP2: 3458

Collisions at IP8: 0
B1-empty at IP8: 55
B2-empty at IP8: 51
Empty-empty at IP8: 3458

LONG RANGE COLL IN IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
401,401,0
801,801,0
8741,8741,0
9141,9141,0
9541,9541,0
9941,9941,0
16091,16091,0
16491,16491,0
16891,16891,0
17291,17291,0
27931,28101,63.64

LONG RANGE COLL IN IR2
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,8741,-63.64
401,9141,-63.64
801,9541,-63.64
11111,20021,0
11511,20421,0
11911,20821,0
12311,21221,0
12711,21621,0
13111,22021,0
13511,22421,0
13911,22821,0
14311,23221,0
14711,23621,0
15111,24021,0
15511,24421,0
17991,26901,0
18391,27301,0
18791,27701,0
19191,28101,0
27931,1201,0
28331,1601,0
28731,2001,0
29131,2401,0
29531,2801,0
29931,3201,0
30331,3601,0
30731,4001,0
31131,4401,0
31531,4801,0
31931,5201,0
32331,5601,0

LONG RANGE COLL IN IR5
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
401,401,0
801,801,0
8741,8741,0
9141,9141,0
9541,9541,0
9941,9941,0
16091,16091,0
16491,16491,0
16891,16891,0
17291,17291,0
27931,28101,63.64

LONG RANGE COLL IN IR8
RFbucketbeam1,RFbucketbeam2,z-pos/m
11111,2001,-63.64
11511,2401,-63.64
11911,2801,-63.64
12311,3201,-63.64
12711,3601,-63.64
13111,4001,-63.64
13511,4401,-63.64
13911,4801,-63.64
14311,5201,-63.64
14711,5601,-63.64
29131,20021,-63.64
29531,20421,-63.64
29931,20821,-63.64
30331,21221,-63.64
30731,21621,-63.64
31131,22021,-63.64
31531,22421,-63.64
31931,22821,-63.64
32331,23221,-63.64
2211,28911,0
2611,29311,0
3011,29711,0
3411,30111,0
3811,30511,0
4211,30911,0
4611,31311,0
5011,31711,0
23431,14491,0
23831,14891,0
24231,15291,0
24631,15691,0
25031,16091,0
25431,16491,0
25831,16891,0
26231,17291,0
17991,9141,33.69
18391,9541,33.69
18791,9941,33.69


LONG RANGE FOR BEAM 1
RFbucket,Slot,Head-On IP1,Head-On IP2,Head-On IP5,Head-On IP8,Head-On Tot,LR IP1,LR IP2,LR IP5,LR IP8,LR Tot
1,0,1,0,1,0,2,0,1,0,0,1
401,40,1,0,1,0,2,0,1,0,0,1
801,80,1,0,1,0,2,0,1,0,0,1
2211,221,0,0,0,1,1,0,0,0,0,0
2611,261,0,0,0,1,1,0,0,0,0,0
3011,301,0,0,0,1,1,0,0,0,0,0
3411,341,0,0,0,1,1,0,0,0,0,0
3811,381,0,0,0,1,1,0,0,0,0,0
4211,421,0,0,0,1,1,0,0,0,0,0
4611,461,0,0,0,1,1,0,0,0,0,0
5011,501,0,0,0,1,1,0,0,0,0,0
8741,874,1,0,1,0,2,0,0,0,0,0
9141,914,1,0,1,0,2,0,0,0,0,0
9541,954,1,0,1,0,2,0,0,0,0,0
9941,994,1,0,1,0,2,0,0,0,0,0
11111,1111,0,1,0,0,1,0,0,0,1,1
11511,1151,0,1,0,0,1,0,0,0,1,1
11911,1191,0,1,0,0,1,0,0,0,1,1
