INJECTION SCHEME : 25ns_1358b_1346_816_1311_112bpi_15i8b4e

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	1,		25,		12,		0,	1
2,	1,	ring_2,	121,		25,		12,		0,	1
3,	2,	ring_1,	821,		0,		1,		0,	1
4,	2,	ring_2,	821,		0,		1,		0,	1
5,	3,	ring_1,	1551,		25,		56,		2175,	2
6,	3,	ring_2,	1551,		25,		56,		2175,	2
7,	4,	ring_1,	3531,		25,		56,		2175,	2
8,	4,	ring_2,	3531,		25,		56,		2175,	2
9,	5,	ring_1,	5511,		25,		56,		2175,	2
10,	5,	ring_2,	5511,		25,		56,		2175,	2
11,	6,	ring_1,	10491,		25,		56,		2175,	2
12,	6,	ring_2,	10491,		25,		56,		2175,	2
13,	7,	ring_1,	12471,		25,		56,		2175,	2
14,	7,	ring_2,	12471,		25,		56,		2175,	2
15,	8,	ring_1,	14451,		25,		56,		2175,	2
16,	8,	ring_2,	14451,		25,		56,		2175,	2
17,	9,	ring_1,	17371,		0,		1,		0,	1
18,	9,	ring_2,	17371,		0,		1,		0,	1
19,	10,	ring_1,	19431,		25,		56,		2175,	2
20,	10,	ring_2,	19431,		25,		56,		2175,	2
21,	11,	ring_1,	21411,		25,		56,		2175,	2
22,	11,	ring_2,	21411,		25,		56,		2175,	2
23,	12,	ring_1,	23391,		25,		56,		2175,	2
24,	12,	ring_2,	23391,		25,		56,		2175,	2
25,	13,	ring_1,	28371,		25,		56,		2175,	2
26,	13,	ring_2,	28371,		25,		56,		2175,	2
27,	14,	ring_1,	30351,		25,		56,		2175,	2
28,	14,	ring_2,	30351,		25,		56,		2175,	2
29,	15,	ring_1,	32331,		25,		56,		2175,	2
30,	15,	ring_2,	32331,		25,		56,		2175,	2
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/1358
Tot number of B2 bunches(probe/Nominal) : 0/1358

Tot number of B1 injections : 15
Tot number of B2 injections : 15

Collisions at IP1&5: 1346
B1-empty at IP1&5: 12
B2-empty at IP1&5: 12
Empty-empty at IP1&5: 2194

Collisions at IP2: 816
B1-empty at IP2: 542
B2-empty at IP2: 542
Empty-empty at IP2: 1664

Collisions at IP8: 1311
B1-empty at IP8: 47
B2-empty at IP8: 47
Empty-empty at IP8: 2159

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1721,1551,-63.64
1731,1561,-63.64
1741,1571,-63.64
1791,1621,-63.64
1841,1671,-63.64
1851,1681,-63.64
1861,1691,-63.64
1911,1741,-63.64
1961,1791,-63.64
1971,1801,-63.64
1981,1811,-63.64
2031,1861,-63.64
2081,1911,-63.64
2091,1921,-63.64
2101,1931,-63.64
2151,1981,-63.64
2201,2031,-63.64
2211,2041,-63.64
2221,2051,-63.64
2271,2101,-63.64
2321,2151,-63.64
2331,2161,-63.64
2341,2171,-63.64
2441,2271,-63.64
2451,2281,-63.64
2461,2291,-63.64
2471,2301,-63.64
2481,2311,-63.64
2491,2321,-63.64
2591,2421,-63.64
2601,2431,-63.64
2611,2441,-63.64
2661,2491,-63.64
2711,2541,-63.64
2721,2551,-63.64
2731,2561,-63.64
2781,2611,-63.64
2831,2661,-63.64
2841,2671,-63.64
2851,2681,-63.64
2901,2731,-63.64
2951,2781,-63.64
2961,2791,-63.64
2971,2801,-63.64
3021,2851,-63.64
3071,2901,-63.64
3081,2911,-63.64
3091,2921,-63.64
3141,2971,-63.64
3191,3021,-63.64
3201,3031,-63.64
3211,3041,-63.64
3701,3531,-63.64
3711,3541,-63.64
3721,3551,-63.64
3771,3601,-63.64
3821,3651,-63.64
3831,3661,-63.64
3841,3671,-63.64
3891,3721,-63.64
3941,3771,-63.64
3951,3781,-63.64
3961,3791,-63.64
4011,3841,-63.64
4061,3891,-63.64
4071,3901,-63.64
4081,3911,-63.64
4131,3961,-63.64
4181,4011,-63.64
4191,4021,-63.64
4201,4031,-63.64
4251,4081,-63.64
4301,4131,-63.64
4311,4141,-63.64
4321,4151,-63.64
4421,4251,-63.64
4431,4261,-63.64
4441,4271,-63.64
4451,4281,-63.64
4461,4291,-63.64
4471,4301,-63.64
4571,4401,-63.64
4581,4411,-63.64
4591,4421,-63.64
4641,4471,-63.64
4691,4521,-63.64
4701,4531,-63.64
4711,4541,-63.64
4761,4591,-63.64
4811,4641,-63.64
4821,4651,-63.64
4831,4661,-63.64
4881,4711,-63.64
4931,4761,-63.64
4941,4771,-63.64
4951,4781,-63.64
5001,4831,-63.64
5051,4881,-63.64
5061,4891,-63.64
5071,4901,-63.64
5121,4951,-63.64
5171,5001,-63.64
5181,5011,-63.64
5191,5021,-63.64
5681,5511,-63.64
5691,5521,-63.64
5701,5531,-63.64
5751,5581,-63.64
5801,5631,-63.64
5811,5641,-63.64
5821,5651,-63.64
5871,5701,-63.64
5921,5751,-63.64
5931,5761,-63.64
5941,5771,-63.64
5991,5821,-63.64
6041,5871,-63.64
6051,5881,-63.64
6061,5891,-63.64
6111,5941,-63.64
6161,5991,-63.64
6171,6001,-63.64
6181,6011,-63.64
6231,6061,-63.64
6281,6111,-63.64
6291,6121,-63.64
6301,6131,-63.64
6401,6231,-63.64
6411,6241,-63.64
6421,6251,-63.64
6431,6261,-63.64
6441,6271,-63.64
6451,6281,-63.64
6551,6381,-63.64
6561,6391,-63.64
6571,6401,-63.64
6621,6451,-63.64
6671,6501,-63.64
6681,6511,-63.64
6691,6521,-63.64
6741,6571,-63.64
6791,6621,-63.64
6801,6631,-63.64
6811,6641,-63.64
6861,6691,-63.64
6911,6741,-63.64
6921,6751,-63.64
6931,6761,-63.64
6981,6811,-63.64
7031,6861,-63.64
7041,6871,-63.64
7051,6881,-63.64
7101,6931,-63.64
7151,6981,-63.64
7161,6991,-63.64
7171,7001,-63.64
10661,10491,-63.64
10671,10501,-63.64
10681,10511,-63.64
10731,10561,-63.64
10781,10611,-63.64
10791,10621,-63.64
10801,10631,-63.64
10851,10681,-63.64
10901,10731,-63.64
10911,10741,-63.64
10921,10751,-63.64
10971,10801,-63.64
11021,10851,-63.64
11031,10861,-63.64
11041,10871,-63.64
11091,10921,-63.64
11141,10971,-63.64
11151,10981,-63.64
11161,10991,-63.64
11211,11041,-63.64
11261,11091,-63.64
11271,11101,-63.64
11281,11111,-63.64
11381,11211,-63.64
11391,11221,-63.64
11401,11231,-63.64
11411,11241,-63.64
11421,11251,-63.64
11431,11261,-63.64
11531,11361,-63.64
11541,11371,-63.64
11551,11381,-63.64
11601,11431,-63.64
11651,11481,-63.64
11661,11491,-63.64
11671,11501,-63.64
11721,11551,-63.64
11771,11601,-63.64
11781,11611,-63.64
11791,11621,-63.64
11841,11671,-63.64
11891,11721,-63.64
11901,11731,-63.64
11911,11741,-63.64
11961,11791,-63.64
12011,11841,-63.64
12021,11851,-63.64
12031,11861,-63.64
12081,11911,-63.64
12131,11961,-63.64
12141,11971,-63.64
12151,11981,-63.64
12641,12471,-63.64
12651,12481,-63.64
12661,12491,-63.64
12711,12541,-63.64
12761,12591,-63.64
12771,12601,-63.64
12781,12611,-63.64
12831,12661,-63.64
12881,12711,-63.64
12891,12721,-63.64
12901,12731,-63.64
12951,12781,-63.64
13001,12831,-63.64
13011,12841,-63.64
13021,12851,-63.64
13071,12901,-63.64
13121,12951,-63.64
13131,12961,-63.64
13141,12971,-63.64
13191,13021,-63.64
13241,13071,-63.64
13251,13081,-63.64
13261,13091,-63.64
13361,13191,-63.64
13371,13201,-63.64
13381,13211,-63.64
13391,13221,-63.64
13401,13231,-63.64
13411,13241,-63.64
13511,13341,-63.64
13521,13351,-63.64
13531,13361,-63.64
13581,13411,-63.64
13631,13461,-63.64
13641,13471,-63.64
13651,13481,-63.64
13701,13531,-63.64
13751,13581,-63.64
13761,13591,-63.64
13771,13601,-63.64
13821,13651,-63.64
13871,13701,-63.64
13881,13711,-63.64
13891,13721,-63.64
13941,13771,-63.64
13991,13821,-63.64
14001,13831,-63.64
14011,13841,-63.64
14061,13891,-63.64
14111,13941,-63.64
14121,13951,-63.64
14131,13961,-63.64
14621,14451,-63.64
14631,14461,-63.64
14641,14471,-63.64
14691,14521,-63.64
14741,14571,-63.64
14751,14581,-63.64
14761,14591,-63.64
14811,14641,-63.64
14861,14691,-63.64
14871,14701,-63.64
14881,14711,-63.64
14931,14761,-63.64
14981,14811,-63.64
14991,14821,-63.64
15001,14831,-63.64
15051,14881,-63.64
15101,14931,-63.64
15111,14941,-63.64
15121,14951,-63.64
15171,15001,-63.64
15221,15051,-63.64
15231,15061,-63.64
15241,15071,-63.64
15341,15171,-63.64
15351,15181,-63.64
15361,15191,-63.64
15371,15201,-63.64
15381,15211,-63.64
15391,15221,-63.64
15491,15321,-63.64
15501,15331,-63.64
15511,15341,-63.64
15561,15391,-63.64
15611,15441,-63.64
15621,15451,-63.64
15631,15461,-63.64
15681,15511,-63.64
15731,15561,-63.64
15741,15571,-63.64
15751,15581,-63.64
15801,15631,-63.64
15851,15681,-63.64
15861,15691,-63.64
15871,15701,-63.64
15921,15751,-63.64
15971,15801,-63.64
15981,15811,-63.64
15991,15821,-63.64
16041,15871,-63.64
16091,15921,-63.64
16101,15931,-63.64
16111,15941,-63.64
19601,19431,-63.64
19611,19441,-63.64
19621,19451,-63.64
19671,19501,-63.64
19721,19551,-63.64
19731,19561,-63.64
19741,19571,-63.64
19791,19621,-63.64
