INJECTION SCHEME : 25ns_1741b_1729_1572_1644_144bpi_14inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_2,	31,		25,		12,		0,	1
2,	1,	ring_1,	151,		25,		12,		0,	1
3,	2,	ring_1,	721,		25,		48,		1400,	3
4,	2,	ring_2,	721,		25,		48,		1400,	3
5,	3,	ring_1,	2631,		25,		48,		1400,	3
6,	3,	ring_2,	2631,		25,		48,		1400,	3
7,	4,	ring_1,	4541,		25,		48,		1400,	3
8,	4,	ring_2,	4541,		25,		48,		1400,	3
9,	5,	ring_1,	9541,		25,		48,		1400,	3
10,	5,	ring_2,	9541,		25,		48,		1400,	3
11,	6,	ring_1,	11451,		25,		48,		1400,	3
12,	6,	ring_2,	11451,		25,		48,		1400,	3
13,	7,	ring_1,	13361,		25,		48,		1400,	3
14,	7,	ring_2,	13361,		25,		48,		1400,	3
15,	8,	ring_1,	16721,		0,		1,		0,	1
16,	8,	ring_2,	16721,		0,		1,		0,	1
17,	9,	ring_1,	18481,		25,		48,		1400,	3
18,	9,	ring_2,	18481,		25,		48,		1400,	3
19,	10,	ring_1,	20391,		25,		48,		1400,	3
20,	10,	ring_2,	20391,		25,		48,		1400,	3
21,	11,	ring_1,	22301,		25,		48,		1400,	3
22,	11,	ring_2,	22301,		25,		48,		1400,	3
23,	12,	ring_1,	27421,		25,		48,		1400,	3
24,	12,	ring_2,	27421,		25,		48,		1400,	3
25,	13,	ring_1,	29331,		25,		48,		1400,	3
26,	13,	ring_2,	29331,		25,		48,		1400,	3
27,	14,	ring_1,	31241,		25,		48,		1400,	3
28,	14,	ring_2,	31241,		25,		48,		1400,	3
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/1741
Tot number of B2 bunches(probe/Nominal) : 0/1741

Tot number of B1 injections : 14
Tot number of B2 injections : 14

Collisions at IP1&5: 1729
B1-empty at IP1&5: 12
B2-empty at IP1&5: 12
Empty-empty at IP1&5: 1811

Collisions at IP2: 1572
B1-empty at IP2: 169
B2-empty at IP2: 169
Empty-empty at IP2: 1654

Collisions at IP8: 1644
B1-empty at IP8: 97
B2-empty at IP8: 97
Empty-empty at IP8: 1726

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
201,31,-63.64
211,41,-63.64
221,51,-63.64
231,61,-63.64
241,71,-63.64
251,81,-63.64
261,91,-63.64
891,721,-63.64
901,731,-63.64
911,741,-63.64
921,751,-63.64
931,761,-63.64
941,771,-63.64
951,781,-63.64
961,791,-63.64
971,801,-63.64
981,811,-63.64
991,821,-63.64
1001,831,-63.64
1011,841,-63.64
1021,851,-63.64
1031,861,-63.64
1041,871,-63.64
1051,881,-63.64
1061,891,-63.64
1071,901,-63.64
1081,911,-63.64
1091,921,-63.64
1101,931,-63.64
1111,941,-63.64
1121,951,-63.64
1131,961,-63.64
1141,971,-63.64
1151,981,-63.64
1161,991,-63.64
1171,1001,-63.64
1181,1011,-63.64
1191,1021,-63.64
1281,1111,-63.64
1291,1121,-63.64
1301,1131,-63.64
1311,1141,-63.64
1321,1151,-63.64
1331,1161,-63.64
1341,1171,-63.64
1351,1181,-63.64
1361,1191,-63.64
1451,1281,-63.64
1461,1291,-63.64
1471,1301,-63.64
1481,1311,-63.64
1491,1321,-63.64
1501,1331,-63.64
1511,1341,-63.64
1521,1351,-63.64
1531,1361,-63.64
1541,1371,-63.64
1551,1381,-63.64
1561,1391,-63.64
1571,1401,-63.64
1581,1411,-63.64
1591,1421,-63.64
1601,1431,-63.64
1611,1441,-63.64
1621,1451,-63.64
1631,1461,-63.64
1641,1471,-63.64
1651,1481,-63.64
1661,1491,-63.64
1671,1501,-63.64
1681,1511,-63.64
1691,1521,-63.64
1701,1531,-63.64
1711,1541,-63.64
1721,1551,-63.64
1731,1561,-63.64
1741,1571,-63.64
1751,1581,-63.64
1841,1671,-63.64
1851,1681,-63.64
1861,1691,-63.64
1871,1701,-63.64
1881,1711,-63.64
1891,1721,-63.64
1901,1731,-63.64
1911,1741,-63.64
1921,1751,-63.64
2011,1841,-63.64
2021,1851,-63.64
2031,1861,-63.64
2041,1871,-63.64
2051,1881,-63.64
2061,1891,-63.64
2071,1901,-63.64
2081,1911,-63.64
2091,1921,-63.64
2101,1931,-63.64
2111,1941,-63.64
2121,1951,-63.64
2131,1961,-63.64
2141,1971,-63.64
2151,1981,-63.64
2161,1991,-63.64
2171,2001,-63.64
2181,2011,-63.64
2191,2021,-63.64
2201,2031,-63.64
2211,2041,-63.64
2221,2051,-63.64
2231,2061,-63.64
2241,2071,-63.64
2251,2081,-63.64
2261,2091,-63.64
2271,2101,-63.64
2281,2111,-63.64
2291,2121,-63.64
2301,2131,-63.64
2311,2141,-63.64
2801,2631,-63.64
2811,2641,-63.64
2821,2651,-63.64
2831,2661,-63.64
2841,2671,-63.64
2851,2681,-63.64
2861,2691,-63.64
2871,2701,-63.64
2881,2711,-63.64
2891,2721,-63.64
2901,2731,-63.64
2911,2741,-63.64
2921,2751,-63.64
2931,2761,-63.64
2941,2771,-63.64
2951,2781,-63.64
2961,2791,-63.64
2971,2801,-63.64
2981,2811,-63.64
2991,2821,-63.64
3001,2831,-63.64
3011,2841,-63.64
3021,2851,-63.64
3031,2861,-63.64
3041,2871,-63.64
3051,2881,-63.64
3061,2891,-63.64
3071,2901,-63.64
3081,2911,-63.64
3091,2921,-63.64
3101,2931,-63.64
3191,3021,-63.64
3201,3031,-63.64
3211,3041,-63.64
3221,3051,-63.64
3231,3061,-63.64
3241,3071,-63.64
3251,3081,-63.64
3261,3091,-63.64
3271,3101,-63.64
3361,3191,-63.64
3371,3201,-63.64
3381,3211,-63.64
3391,3221,-63.64
3401,3231,-63.64
3411,3241,-63.64
3421,3251,-63.64
3431,3261,-63.64
3441,3271,-63.64
3451,3281,-63.64
3461,3291,-63.64
3471,3301,-63.64
3481,3311,-63.64
3491,3321,-63.64
3501,3331,-63.64
3511,3341,-63.64
3521,3351,-63.64
3531,3361,-63.64
3541,3371,-63.64
3551,3381,-63.64
3561,3391,-63.64
3571,3401,-63.64
3581,3411,-63.64
3591,3421,-63.64
3601,3431,-63.64
3611,3441,-63.64
3621,3451,-63.64
3631,3461,-63.64
3641,3471,-63.64
3651,3481,-63.64
3661,3491,-63.64
3751,3581,-63.64
3761,3591,-63.64
3771,3601,-63.64
3781,3611,-63.64
3791,3621,-63.64
3801,3631,-63.64
3811,3641,-63.64
3821,3651,-63.64
3831,3661,-63.64
3921,3751,-63.64
3931,3761,-63.64
3941,3771,-63.64
3951,3781,-63.64
3961,3791,-63.64
3971,3801,-63.64
3981,3811,-63.64
3991,3821,-63.64
4001,3831,-63.64
4011,3841,-63.64
4021,3851,-63.64
4031,3861,-63.64
4041,3871,-63.64
4051,3881,-63.64
4061,3891,-63.64
4071,3901,-63.64
4081,3911,-63.64
4091,3921,-63.64
4101,3931,-63.64
4111,3941,-63.64
4121,3951,-63.64
4131,3961,-63.64
4141,3971,-63.64
4151,3981,-63.64
4161,3991,-63.64
4171,4001,-63.64
4181,4011,-63.64
4191,4021,-63.64
4201,4031,-63.64
4211,4041,-63.64
4221,4051,-63.64
4711,4541,-63.64
4721,4551,-63.64
4731,4561,-63.64
4741,4571,-63.64
4751,4581,-63.64
4761,4591,-63.64
4771,4601,-63.64
4781,4611,-63.64
4791,4621,-63.64
4801,4631,-63.64
4811,4641,-63.64
4821,4651,-63.64
4831,4661,-63.64
4841,4671,-63.64
4851,4681,-63.64
4861,4691,-63.64
4871,4701,-63.64
4881,4711,-63.64
4891,4721,-63.64
4901,4731,-63.64
4911,4741,-63.64
4921,4751,-63.64
4931,4761,-63.64
4941,4771,-63.64
4951,4781,-63.64
4961,4791,-63.64
4971,4801,-63.64
4981,4811,-63.64
4991,4821,-63.64
5001,4831,-63.64
5011,4841,-63.64
5101,4931,-63.64
5111,4941,-63.64
5121,4951,-63.64
5131,4961,-63.64
5141,4971,-63.64
5151,4981,-63.64
5161,4991,-63.64
5171,5001,-63.64
5181,5011,-63.64
5271,5101,-63.64
5281,5111,-63.64
5291,5121,-63.64
5301,5131,-63.64
5311,5141,-63.64
5321,5151,-63.64
5331,5161,-63.64
5341,5171,-63.64
5351,5181,-63.64
5361,5191,-63.64
5371,5201,-63.64
5381,5211,-63.64
5391,5221,-63.64
5401,5231,-63.64
5411,5241,-63.64
5421,5251,-63.64
5431,5261,-63.64
5441,5271,-63.64
5451,5281,-63.64
5461,5291,-63.64
5471,5301,-63.64
5481,5311,-63.64
5491,5321,-63.64
5501,5331,-63.64
5511,5341,-63.64
5521,5351,-63.64
5531,5361,-63.64
5541,5371,-63.64
5551,5381,-63.64
5561,5391,-63.64
