INJECTION SCHEME : 25ns_1868b_1866_1089_1749_128bpi_17i8b4e

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	1,		25,		12,		0,	1
2,	1,	ring_2,	21,		25,		12,		0,	1
3,	2,	ring_1,	451,		25,		32,		0,	1
4,	2,	ring_2,	451,		25,		32,		0,	1
5,	3,	ring_1,	1201,		25,		32,		1275,	4
6,	3,	ring_2,	1201,		25,		32,		1275,	4
7,	4,	ring_1,	3481,		25,		32,		1275,	4
8,	4,	ring_2,	3481,		25,		32,		1275,	4
9,	5,	ring_1,	5761,		25,		32,		1275,	4
10,	5,	ring_2,	5761,		25,		32,		1275,	4
11,	6,	ring_1,	8251,		25,		32,		1275,	3
12,	6,	ring_2,	8251,		25,		32,		1275,	3
13,	7,	ring_1,	10021,		25,		32,		1275,	4
14,	7,	ring_2,	10021,		25,		32,		1275,	4
15,	8,	ring_1,	12301,		25,		32,		1275,	4
16,	8,	ring_2,	12301,		25,		32,		1275,	4
17,	9,	ring_1,	14581,		25,		32,		1275,	4
18,	9,	ring_2,	14581,		25,		32,		1275,	4
19,	10,	ring_1,	17191,		25,		32,		1275,	3
20,	10,	ring_2,	17191,		25,		32,		1275,	3
21,	11,	ring_1,	18961,		25,		32,		1275,	4
22,	11,	ring_2,	18961,		25,		32,		1275,	4
23,	12,	ring_1,	21241,		25,		32,		1275,	4
24,	12,	ring_2,	21241,		25,		32,		1275,	4
25,	13,	ring_1,	23521,		25,		32,		1275,	4
26,	13,	ring_2,	23521,		25,		32,		1275,	4
27,	14,	ring_1,	26131,		25,		32,		1275,	3
28,	14,	ring_2,	26131,		25,		32,		1275,	3
29,	15,	ring_1,	27901,		25,		32,		1275,	4
30,	15,	ring_2,	27901,		25,		32,		1275,	4
31,	16,	ring_1,	30181,		25,		32,		1275,	4
32,	16,	ring_2,	30181,		25,		32,		1275,	4
33,	17,	ring_1,	32461,		25,		32,		1275,	4
34,	17,	ring_2,	32461,		25,		32,		1275,	4
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/1868
Tot number of B2 bunches(probe/Nominal) : 0/1868

Tot number of B1 injections : 17
Tot number of B2 injections : 17

Collisions at IP1&5: 1866
B1-empty at IP1&5: 2
B2-empty at IP1&5: 2
Empty-empty at IP1&5: 1694

Collisions at IP2: 1089
B1-empty at IP2: 779
B2-empty at IP2: 779
Empty-empty at IP2: 917

Collisions at IP8: 1749
B1-empty at IP8: 119
B2-empty at IP8: 119
Empty-empty at IP8: 1577

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
621,451,-63.64
631,461,-63.64
641,471,-63.64
691,521,-63.64
741,571,-63.64
751,581,-63.64
761,591,-63.64
811,641,-63.64
861,691,-63.64
871,701,-63.64
881,711,-63.64
1371,1201,-63.64
1381,1211,-63.64
1391,1221,-63.64
1441,1271,-63.64
1491,1321,-63.64
1501,1331,-63.64
1511,1341,-63.64
1561,1391,-63.64
1611,1441,-63.64
1621,1451,-63.64
1631,1461,-63.64
1731,1561,-63.64
1741,1571,-63.64
1751,1581,-63.64
1761,1591,-63.64
1771,1601,-63.64
1781,1611,-63.64
1881,1711,-63.64
1891,1721,-63.64
1901,1731,-63.64
1951,1781,-63.64
2001,1831,-63.64
2011,1841,-63.64
2021,1851,-63.64
2071,1901,-63.64
2121,1951,-63.64
2131,1961,-63.64
2141,1971,-63.64
2241,2071,-63.64
2251,2081,-63.64
2261,2091,-63.64
2271,2101,-63.64
2281,2111,-63.64
2291,2121,-63.64
2391,2221,-63.64
2401,2231,-63.64
2411,2241,-63.64
2461,2291,-63.64
2511,2341,-63.64
2521,2351,-63.64
2531,2361,-63.64
2581,2411,-63.64
2631,2461,-63.64
2641,2471,-63.64
2651,2481,-63.64
2751,2581,-63.64
2761,2591,-63.64
2771,2601,-63.64
2781,2611,-63.64
2791,2621,-63.64
2801,2631,-63.64
2901,2731,-63.64
2911,2741,-63.64
2921,2751,-63.64
2971,2801,-63.64
3021,2851,-63.64
3031,2861,-63.64
3041,2871,-63.64
3091,2921,-63.64
3141,2971,-63.64
3151,2981,-63.64
3161,2991,-63.64
3651,3481,-63.64
3661,3491,-63.64
3671,3501,-63.64
3721,3551,-63.64
3771,3601,-63.64
3781,3611,-63.64
3791,3621,-63.64
3841,3671,-63.64
3891,3721,-63.64
3901,3731,-63.64
3911,3741,-63.64
4011,3841,-63.64
4021,3851,-63.64
4031,3861,-63.64
4041,3871,-63.64
4051,3881,-63.64
4061,3891,-63.64
4161,3991,-63.64
4171,4001,-63.64
4181,4011,-63.64
4231,4061,-63.64
4281,4111,-63.64
4291,4121,-63.64
4301,4131,-63.64
4351,4181,-63.64
4401,4231,-63.64
4411,4241,-63.64
4421,4251,-63.64
4521,4351,-63.64
4531,4361,-63.64
4541,4371,-63.64
4551,4381,-63.64
4561,4391,-63.64
4571,4401,-63.64
4671,4501,-63.64
4681,4511,-63.64
4691,4521,-63.64
4741,4571,-63.64
4791,4621,-63.64
4801,4631,-63.64
4811,4641,-63.64
4861,4691,-63.64
4911,4741,-63.64
4921,4751,-63.64
4931,4761,-63.64
5031,4861,-63.64
5041,4871,-63.64
5051,4881,-63.64
5061,4891,-63.64
5071,4901,-63.64
5081,4911,-63.64
5181,5011,-63.64
5191,5021,-63.64
5201,5031,-63.64
5251,5081,-63.64
5301,5131,-63.64
5311,5141,-63.64
5321,5151,-63.64
5371,5201,-63.64
5421,5251,-63.64
5431,5261,-63.64
5441,5271,-63.64
5931,5761,-63.64
5941,5771,-63.64
5951,5781,-63.64
6001,5831,-63.64
6051,5881,-63.64
6061,5891,-63.64
6071,5901,-63.64
6121,5951,-63.64
6171,6001,-63.64
6181,6011,-63.64
6191,6021,-63.64
6291,6121,-63.64
6301,6131,-63.64
6311,6141,-63.64
6321,6151,-63.64
6331,6161,-63.64
6341,6171,-63.64
6441,6271,-63.64
6451,6281,-63.64
6461,6291,-63.64
6511,6341,-63.64
6561,6391,-63.64
6571,6401,-63.64
6581,6411,-63.64
6631,6461,-63.64
6681,6511,-63.64
6691,6521,-63.64
6701,6531,-63.64
6801,6631,-63.64
6811,6641,-63.64
6821,6651,-63.64
6831,6661,-63.64
6841,6671,-63.64
6851,6681,-63.64
6951,6781,-63.64
6961,6791,-63.64
6971,6801,-63.64
7021,6851,-63.64
7071,6901,-63.64
7081,6911,-63.64
7091,6921,-63.64
7141,6971,-63.64
7191,7021,-63.64
7201,7031,-63.64
7211,7041,-63.64
7311,7141,-63.64
7321,7151,-63.64
7331,7161,-63.64
7341,7171,-63.64
7351,7181,-63.64
7361,7191,-63.64
7461,7291,-63.64
7471,7301,-63.64
7481,7311,-63.64
7531,7361,-63.64
7581,7411,-63.64
7591,7421,-63.64
7601,7431,-63.64
7651,7481,-63.64
7701,7531,-63.64
7711,7541,-63.64
7721,7551,-63.64
8421,8251,-63.64
8431,8261,-63.64
8441,8271,-63.64
8491,8321,-63.64
8541,8371,-63.64
8551,8381,-63.64
8561,8391,-63.64
8611,8441,-63.64
8661,8491,-63.64
8671,8501,-63.64
8681,8511,-63.64
8781,8611,-63.64
8791,8621,-63.64
8801,8631,-63.64
8811,8641,-63.64
8821,8651,-63.64
8831,8661,-63.64
8931,8761,-63.64
8941,8771,-63.64
8951,8781,-63.64
9001,8831,-63.64
9051,8881,-63.64
9061,8891,-63.64
9071,8901,-63.64
9121,8951,-63.64
9171,9001,-63.64
9181,9011,-63.64
9191,9021,-63.64
9291,9121,-63.64
9301,9131,-63.64
9311,9141,-63.64
9321,9151,-63.64
9331,9161,-63.64
9341,9171,-63.64
9441,9271,-63.64
9451,9281,-63.64
9461,9291,-63.64
9511,9341,-63.64
9561,9391,-63.64
9571,9401,-63.64
9581,9411,-63.64
9631,9461,-63.64
9681,9511,-63.64
9691,9521,-63.64
9701,9531,-63.64
10191,10021,-63.64
10201,10031,-63.64
10211,10041,-63.64
10261,10091,-63.64
10311,10141,-63.64
10321,10151,-63.64
10331,10161,-63.64
10381,10211,-63.64
10431,10261,-63.64
10441,10271,-63.64
10451,10281,-63.64
10551,10381,-63.64
10561,10391,-63.64
10571,10401,-63.64
10581,10411,-63.64
10591,10421,-63.64
10601,10431,-63.64
10701,10531,-63.64
10711,10541,-63.64
10721,10551,-63.64
10771,10601,-63.64
10821,10651,-63.64
