INJECTION SCHEME : 25ns_1916b_1909_1042_1560_112bpi_20i8b4e

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_2,	1,		25,		12,		0,	1
2,	1,	ring_1,	71,		25,		12,		0,	1
3,	2,	ring_1,	501,		25,		56,		0,	1
4,	2,	ring_2,	501,		25,		56,		0,	1
5,	3,	ring_1,	1611,		25,		56,		2175,	2
6,	3,	ring_2,	1611,		25,		56,		2175,	2
7,	4,	ring_1,	3591,		25,		56,		2175,	2
8,	4,	ring_2,	3591,		25,		56,		2175,	2
9,	5,	ring_1,	5571,		25,		56,		2175,	2
10,	5,	ring_2,	5571,		25,		56,		2175,	2
11,	6,	ring_1,	7581,		25,		56,		0,	1
12,	6,	ring_2,	7581,		25,		56,		0,	1
13,	7,	ring_1,	8691,		25,		56,		2175,	2
14,	7,	ring_2,	8691,		25,		56,		2175,	2
15,	8,	ring_1,	10671,		25,		56,		2175,	2
16,	8,	ring_2,	10671,		25,		56,		2175,	2
17,	9,	ring_1,	12651,		25,		56,		2175,	2
18,	9,	ring_2,	12651,		25,		56,		2175,	2
19,	10,	ring_1,	14631,		25,		56,		2175,	2
20,	10,	ring_2,	14631,		25,		56,		2175,	2
21,	11,	ring_1,	16641,		25,		56,		0,	1
22,	11,	ring_2,	16641,		25,		56,		0,	1
23,	12,	ring_1,	17751,		25,		56,		2175,	2
24,	12,	ring_2,	17751,		25,		56,		2175,	2
25,	13,	ring_1,	19731,		25,		56,		2175,	2
26,	13,	ring_2,	19731,		25,		56,		2175,	2
27,	14,	ring_1,	21711,		25,		56,		2175,	2
28,	14,	ring_2,	21711,		25,		56,		2175,	2
29,	15,	ring_1,	23691,		25,		56,		2175,	2
30,	15,	ring_2,	23691,		25,		56,		2175,	2
31,	16,	ring_1,	25701,		25,		56,		0,	1
32,	16,	ring_2,	25701,		25,		56,		0,	1
33,	17,	ring_1,	26811,		25,		56,		2175,	2
34,	17,	ring_2,	26811,		25,		56,		2175,	2
35,	18,	ring_1,	28791,		25,		56,		2175,	2
36,	18,	ring_2,	28791,		25,		56,		2175,	2
37,	19,	ring_1,	30771,		25,		56,		2175,	2
38,	19,	ring_2,	30771,		25,		56,		2175,	2
39,	20,	ring_1,	32751,		25,		56,		2175,	2
40,	20,	ring_2,	32751,		25,		56,		2175,	2
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/1916
Tot number of B2 bunches(probe/Nominal) : 0/1916

Tot number of B1 injections : 20
Tot number of B2 injections : 20

Collisions at IP1&5: 1909
B1-empty at IP1&5: 7
B2-empty at IP1&5: 7
Empty-empty at IP1&5: 1641

Collisions at IP2: 1042
B1-empty at IP2: 874
B2-empty at IP2: 874
Empty-empty at IP2: 774

Collisions at IP8: 1560
B1-empty at IP8: 356
B2-empty at IP8: 356
Empty-empty at IP8: 1292

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
171,1,-63.64
181,11,-63.64
671,501,-63.64
681,511,-63.64
691,521,-63.64
741,571,-63.64
791,621,-63.64
801,631,-63.64
811,641,-63.64
861,691,-63.64
911,741,-63.64
921,751,-63.64
931,761,-63.64
981,811,-63.64
1031,861,-63.64
1041,871,-63.64
1051,881,-63.64
1101,931,-63.64
1151,981,-63.64
1161,991,-63.64
1171,1001,-63.64
1221,1051,-63.64
1271,1101,-63.64
1281,1111,-63.64
1291,1121,-63.64
1781,1611,-63.64
1791,1621,-63.64
1801,1631,-63.64
1851,1681,-63.64
1901,1731,-63.64
1911,1741,-63.64
1921,1751,-63.64
1971,1801,-63.64
2021,1851,-63.64
2031,1861,-63.64
2041,1871,-63.64
2091,1921,-63.64
2141,1971,-63.64
2151,1981,-63.64
2161,1991,-63.64
2211,2041,-63.64
2261,2091,-63.64
2271,2101,-63.64
2281,2111,-63.64
2331,2161,-63.64
2381,2211,-63.64
2391,2221,-63.64
2401,2231,-63.64
2501,2331,-63.64
2511,2341,-63.64
2521,2351,-63.64
2531,2361,-63.64
2541,2371,-63.64
2551,2381,-63.64
2651,2481,-63.64
2661,2491,-63.64
2671,2501,-63.64
2721,2551,-63.64
2771,2601,-63.64
2781,2611,-63.64
2791,2621,-63.64
2841,2671,-63.64
2891,2721,-63.64
2901,2731,-63.64
2911,2741,-63.64
2961,2791,-63.64
3011,2841,-63.64
3021,2851,-63.64
3031,2861,-63.64
3081,2911,-63.64
3131,2961,-63.64
3141,2971,-63.64
3151,2981,-63.64
3201,3031,-63.64
3251,3081,-63.64
3261,3091,-63.64
3271,3101,-63.64
3761,3591,-63.64
3771,3601,-63.64
3781,3611,-63.64
3831,3661,-63.64
3881,3711,-63.64
3891,3721,-63.64
3901,3731,-63.64
3951,3781,-63.64
4001,3831,-63.64
4011,3841,-63.64
4021,3851,-63.64
4071,3901,-63.64
4121,3951,-63.64
4131,3961,-63.64
4141,3971,-63.64
4191,4021,-63.64
4241,4071,-63.64
4251,4081,-63.64
4261,4091,-63.64
4311,4141,-63.64
4361,4191,-63.64
4371,4201,-63.64
4381,4211,-63.64
4481,4311,-63.64
4491,4321,-63.64
4501,4331,-63.64
4511,4341,-63.64
4521,4351,-63.64
4531,4361,-63.64
4631,4461,-63.64
4641,4471,-63.64
4651,4481,-63.64
4701,4531,-63.64
4751,4581,-63.64
4761,4591,-63.64
4771,4601,-63.64
4821,4651,-63.64
4871,4701,-63.64
4881,4711,-63.64
4891,4721,-63.64
4941,4771,-63.64
4991,4821,-63.64
5001,4831,-63.64
5011,4841,-63.64
5061,4891,-63.64
5111,4941,-63.64
5121,4951,-63.64
5131,4961,-63.64
5181,5011,-63.64
5231,5061,-63.64
5241,5071,-63.64
5251,5081,-63.64
5741,5571,-63.64
5751,5581,-63.64
5761,5591,-63.64
5811,5641,-63.64
5861,5691,-63.64
5871,5701,-63.64
5881,5711,-63.64
5931,5761,-63.64
5981,5811,-63.64
5991,5821,-63.64
6001,5831,-63.64
6051,5881,-63.64
6101,5931,-63.64
6111,5941,-63.64
6121,5951,-63.64
6171,6001,-63.64
6221,6051,-63.64
6231,6061,-63.64
6241,6071,-63.64
6291,6121,-63.64
6341,6171,-63.64
6351,6181,-63.64
6361,6191,-63.64
6461,6291,-63.64
6471,6301,-63.64
6481,6311,-63.64
6491,6321,-63.64
6501,6331,-63.64
6511,6341,-63.64
6611,6441,-63.64
6621,6451,-63.64
6631,6461,-63.64
6681,6511,-63.64
6731,6561,-63.64
6741,6571,-63.64
6751,6581,-63.64
6801,6631,-63.64
6851,6681,-63.64
6861,6691,-63.64
6871,6701,-63.64
6921,6751,-63.64
6971,6801,-63.64
6981,6811,-63.64
6991,6821,-63.64
7041,6871,-63.64
7091,6921,-63.64
7101,6931,-63.64
7111,6941,-63.64
7161,6991,-63.64
7211,7041,-63.64
7221,7051,-63.64
7231,7061,-63.64
7751,7581,-63.64
7761,7591,-63.64
7771,7601,-63.64
7821,7651,-63.64
7871,7701,-63.64
7881,7711,-63.64
7891,7721,-63.64
7941,7771,-63.64
7991,7821,-63.64
8001,7831,-63.64
8011,7841,-63.64
8061,7891,-63.64
8111,7941,-63.64
8121,7951,-63.64
8131,7961,-63.64
8181,8011,-63.64
8231,8061,-63.64
8241,8071,-63.64
8251,8081,-63.64
8301,8131,-63.64
8351,8181,-63.64
8361,8191,-63.64
8371,8201,-63.64
8861,8691,-63.64
8871,8701,-63.64
8881,8711,-63.64
8931,8761,-63.64
8981,8811,-63.64
8991,8821,-63.64
9001,8831,-63.64
9051,8881,-63.64
9101,8931,-63.64
9111,8941,-63.64
9121,8951,-63.64
9171,9001,-63.64
9221,9051,-63.64
9231,9061,-63.64
9241,9071,-63.64
