INJECTION SCHEME : 25ns_224b_211_0_0_56bpi_9inj_HIPU

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	31,		25,		12,		0,	1
2,	1,	ring_2,	151,		25,		12,		0,	1
3,	2,	ring_1,	901,		0,		1,		0,	1
4,	2,	ring_2,	901,		0,		1,		0,	1
5,	3,	ring_1,	7801,		25,		56,		0,	1
6,	3,	ring_2,	7801,		25,		56,		0,	1
7,	4,	ring_1,	10741,		0,		1,		0,	1
8,	4,	ring_2,	10741,		0,		1,		0,	1
9,	5,	ring_2,	12801,		0,		1,		0,	1
10,	5,	ring_1,	12991,		0,		1,		0,	1
11,	6,	ring_1,	14111,		25,		56,		0,	1
12,	6,	ring_2,	14111,		25,		56,		0,	1
13,	7,	ring_1,	18081,		0,		1,		0,	1
14,	7,	ring_2,	18081,		0,		1,		0,	1
15,	8,	ring_1,	20831,		25,		48,		0,	1
16,	8,	ring_2,	20831,		25,		48,		0,	1
17,	9,	ring_1,	28091,		25,		48,		0,	1
18,	9,	ring_2,	28091,		25,		48,		0,	1
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/224
Tot number of B2 bunches(probe/Nominal) : 0/224

Tot number of B1 injections : 9
Tot number of B2 injections : 9

Collisions at IP1&5: 211
B1-empty at IP1&5: 13
B2-empty at IP1&5: 13
Empty-empty at IP1&5: 3327

Collisions at IP2: 0
B1-empty at IP2: 224
B2-empty at IP2: 224
Empty-empty at IP2: 3116

Collisions at IP8: 0
B1-empty at IP8: 224
B2-empty at IP8: 224
Empty-empty at IP8: 3116

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
7971,7801,-63.64
7981,7811,-63.64
7991,7821,-63.64
8041,7871,-63.64
8091,7921,-63.64
8101,7931,-63.64
8111,7941,-63.64
8161,7991,-63.64
8211,8041,-63.64
8221,8051,-63.64
8231,8061,-63.64
8281,8111,-63.64
8331,8161,-63.64
8341,8171,-63.64
8351,8181,-63.64
8401,8231,-63.64
8451,8281,-63.64
8461,8291,-63.64
8471,8301,-63.64
8521,8351,-63.64
8571,8401,-63.64
8581,8411,-63.64
8591,8421,-63.64
14281,14111,-63.64
14291,14121,-63.64
14301,14131,-63.64
14351,14181,-63.64
14401,14231,-63.64
14411,14241,-63.64
14421,14251,-63.64
14471,14301,-63.64
14521,14351,-63.64
14531,14361,-63.64
14541,14371,-63.64
14591,14421,-63.64
14641,14471,-63.64
14651,14481,-63.64
14661,14491,-63.64
14711,14541,-63.64
14761,14591,-63.64
14771,14601,-63.64
14781,14611,-63.64
14831,14661,-63.64
14881,14711,-63.64
14891,14721,-63.64
14901,14731,-63.64
21001,20831,-63.64
21011,20841,-63.64
21021,20851,-63.64
21031,20861,-63.64
21041,20871,-63.64
21051,20881,-63.64
21061,20891,-63.64
21071,20901,-63.64
21081,20911,-63.64
21091,20921,-63.64
21101,20931,-63.64
21111,20941,-63.64
21121,20951,-63.64
21131,20961,-63.64
21141,20971,-63.64
21151,20981,-63.64
21161,20991,-63.64
21171,21001,-63.64
21181,21011,-63.64
21191,21021,-63.64
21201,21031,-63.64
21211,21041,-63.64
21221,21051,-63.64
21231,21061,-63.64
21241,21071,-63.64
21251,21081,-63.64
21261,21091,-63.64
21271,21101,-63.64
21281,21111,-63.64
21291,21121,-63.64
21301,21131,-63.64
28261,28091,-63.64
28271,28101,-63.64
28281,28111,-63.64
28291,28121,-63.64
28301,28131,-63.64
28311,28141,-63.64
28321,28151,-63.64
28331,28161,-63.64
28341,28171,-63.64
28351,28181,-63.64
28361,28191,-63.64
28371,28201,-63.64
28381,28211,-63.64
28391,28221,-63.64
28401,28231,-63.64
28411,28241,-63.64
28421,28251,-63.64
28431,28261,-63.64
28441,28271,-63.64
28451,28281,-63.64
28461,28291,-63.64
28471,28301,-63.64
28481,28311,-63.64
28491,28321,-63.64
28501,28331,-63.64
28511,28341,-63.64
28521,28351,-63.64
28531,28361,-63.64
28541,28371,-63.64
28551,28381,-63.64
28561,28391,-63.64
7961,7801,-59.89
7971,7811,-59.89
7981,7821,-59.89
7991,7831,-59.89
8081,7921,-59.89
8091,7931,-59.89
8101,7941,-59.89
