INJECTION SCHEME : 25ns_315b_303_228_240_48bpi_11inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	61,		0,		1,		0,	1
2,	1,	ring_2,	61,		0,		1,		0,	1
3,	2,	ring_1,	461,		0,		1,		0,	1
4,	2,	ring_2,	461,		0,		1,		0,	1
5,	3,	ring_1,	861,		0,		1,		0,	1
6,	3,	ring_2,	861,		0,		1,		0,	1
7,	4,	ring_1,	1451,		25,		12,		0,	1
8,	4,	ring_2,	1451,		25,		12,		0,	1
9,	5,	ring_1,	3481,		25,		12,		0,	1
10,	5,	ring_2,	3721,		25,		12,		0,	1
11,	6,	ring_1,	10031,		25,		48,		0,	1
12,	6,	ring_2,	10031,		25,		48,		0,	1
13,	7,	ring_1,	12301,		25,		48,		0,	1
14,	7,	ring_2,	12301,		25,		48,		0,	1
15,	8,	ring_1,	18971,		25,		48,		0,	1
16,	8,	ring_2,	18971,		25,		48,		0,	1
17,	9,	ring_1,	21241,		25,		48,		0,	1
18,	9,	ring_2,	21241,		25,		48,		0,	1
19,	10,	ring_1,	27911,		25,		48,		0,	1
20,	10,	ring_2,	27911,		25,		48,		0,	1
21,	11,	ring_1,	30181,		25,		48,		0,	1
22,	11,	ring_2,	30181,		25,		48,		0,	1
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/315
Tot number of B2 bunches(probe/Nominal) : 0/315

Tot number of B1 injections : 11
Tot number of B2 injections : 11

Collisions at IP1&5: 303
B1-empty at IP1&5: 12
B2-empty at IP1&5: 12
Empty-empty at IP1&5: 3237

Collisions at IP2: 228
B1-empty at IP2: 87
B2-empty at IP2: 87
Empty-empty at IP2: 3162

Collisions at IP8: 240
B1-empty at IP8: 75
B2-empty at IP8: 75
Empty-empty at IP8: 3174

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
10201,10031,-63.64
10211,10041,-63.64
10221,10051,-63.64
10231,10061,-63.64
10241,10071,-63.64
10251,10081,-63.64
10261,10091,-63.64
10271,10101,-63.64
10281,10111,-63.64
10291,10121,-63.64
10301,10131,-63.64
10311,10141,-63.64
10321,10151,-63.64
10331,10161,-63.64
10341,10171,-63.64
10351,10181,-63.64
10361,10191,-63.64
10371,10201,-63.64
10381,10211,-63.64
10391,10221,-63.64
10401,10231,-63.64
10411,10241,-63.64
10421,10251,-63.64
10431,10261,-63.64
10441,10271,-63.64
10451,10281,-63.64
10461,10291,-63.64
10471,10301,-63.64
10481,10311,-63.64
10491,10321,-63.64
10501,10331,-63.64
12471,12301,-63.64
12481,12311,-63.64
12491,12321,-63.64
12501,12331,-63.64
12511,12341,-63.64
12521,12351,-63.64
12531,12361,-63.64
12541,12371,-63.64
12551,12381,-63.64
12561,12391,-63.64
12571,12401,-63.64
12581,12411,-63.64
12591,12421,-63.64
12601,12431,-63.64
12611,12441,-63.64
12621,12451,-63.64
12631,12461,-63.64
12641,12471,-63.64
12651,12481,-63.64
12661,12491,-63.64
12671,12501,-63.64
12681,12511,-63.64
12691,12521,-63.64
12701,12531,-63.64
12711,12541,-63.64
12721,12551,-63.64
12731,12561,-63.64
12741,12571,-63.64
12751,12581,-63.64
12761,12591,-63.64
12771,12601,-63.64
19141,18971,-63.64
19151,18981,-63.64
19161,18991,-63.64
19171,19001,-63.64
19181,19011,-63.64
19191,19021,-63.64
19201,19031,-63.64
19211,19041,-63.64
19221,19051,-63.64
19231,19061,-63.64
19241,19071,-63.64
19251,19081,-63.64
19261,19091,-63.64
19271,19101,-63.64
19281,19111,-63.64
19291,19121,-63.64
19301,19131,-63.64
19311,19141,-63.64
19321,19151,-63.64
19331,19161,-63.64
19341,19171,-63.64
19351,19181,-63.64
19361,19191,-63.64
19371,19201,-63.64
19381,19211,-63.64
19391,19221,-63.64
19401,19231,-63.64
19411,19241,-63.64
19421,19251,-63.64
19431,19261,-63.64
19441,19271,-63.64
21411,21241,-63.64
21421,21251,-63.64
21431,21261,-63.64
21441,21271,-63.64
21451,21281,-63.64
21461,21291,-63.64
21471,21301,-63.64
21481,21311,-63.64
21491,21321,-63.64
21501,21331,-63.64
21511,21341,-63.64
21521,21351,-63.64
21531,21361,-63.64
21541,21371,-63.64
21551,21381,-63.64
21561,21391,-63.64
21571,21401,-63.64
21581,21411,-63.64
21591,21421,-63.64
21601,21431,-63.64
21611,21441,-63.64
21621,21451,-63.64
21631,21461,-63.64
21641,21471,-63.64
21651,21481,-63.64
21661,21491,-63.64
21671,21501,-63.64
21681,21511,-63.64
21691,21521,-63.64
21701,21531,-63.64
21711,21541,-63.64
28081,27911,-63.64
28091,27921,-63.64
28101,27931,-63.64
28111,27941,-63.64
28121,27951,-63.64
28131,27961,-63.64
28141,27971,-63.64
28151,27981,-63.64
28161,27991,-63.64
28171,28001,-63.64
28181,28011,-63.64
28191,28021,-63.64
28201,28031,-63.64
28211,28041,-63.64
28221,28051,-63.64
28231,28061,-63.64
28241,28071,-63.64
28251,28081,-63.64
28261,28091,-63.64
28271,28101,-63.64
28281,28111,-63.64
28291,28121,-63.64
28301,28131,-63.64
28311,28141,-63.64
28321,28151,-63.64
28331,28161,-63.64
28341,28171,-63.64
28351,28181,-63.64
28361,28191,-63.64
28371,28201,-63.64
28381,28211,-63.64
30351,30181,-63.64
30361,30191,-63.64
30371,30201,-63.64
30381,30211,-63.64
30391,30221,-63.64
30401,30231,-63.64
30411,30241,-63.64
30421,30251,-63.64
30431,30261,-63.64
30441,30271,-63.64
30451,30281,-63.64
30461,30291,-63.64
30471,30301,-63.64
30481,30311,-63.64
30491,30321,-63.64
30501,30331,-63.64
30511,30341,-63.64
30521,30351,-63.64
30531,30361,-63.64
30541,30371,-63.64
30551,30381,-63.64
30561,30391,-63.64
30571,30401,-63.64
30581,30411,-63.64
30591,30421,-63.64
30601,30431,-63.64
30611,30441,-63.64
30621,30451,-63.64
30631,30461,-63.64
30641,30471,-63.64
30651,30481,-63.64
10191,10031,-59.89
10201,10041,-59.89
10211,10051,-59.89
10221,10061,-59.89
10231,10071,-59.89
10241,10081,-59.89
10251,10091,-59.89
10261,10101,-59.89
10271,10111,-59.89
10281,10121,-59.89
10291,10131,-59.89
10301,10141,-59.89
10311,10151,-59.89
10321,10161,-59.89
10331,10171,-59.89
10341,10181,-59.89
10351,10191,-59.89
10361,10201,-59.89
10371,10211,-59.89
10381,10221,-59.89
10391,10231,-59.89
10401,10241,-59.89
10411,10251,-59.89
