INJECTION SCHEME : 25ns_51b_51_32_36_12bpi_7inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	1,		25,		12,		0,	1
2,	1,	ring_2,	1,		25,		12,		0,	1
3,	2,	ring_1,	3781,		0,		1,		0,	1
4,	2,	ring_2,	3781,		0,		1,		0,	1
5,	3,	ring_1,	8941,		25,		12,		0,	1
6,	3,	ring_2,	8941,		25,		12,		0,	1
7,	4,	ring_1,	12691,		0,		1,		0,	1
8,	4,	ring_2,	12691,		0,		1,		0,	1
9,	5,	ring_1,	17881,		25,		12,		0,	1
10,	5,	ring_2,	17881,		25,		12,		0,	1
11,	6,	ring_1,	21601,		0,		1,		0,	1
12,	6,	ring_2,	21601,		0,		1,		0,	1
13,	7,	ring_1,	26821,		25,		12,		0,	1
14,	7,	ring_2,	26821,		25,		12,		0,	1
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/51
Tot number of B2 bunches(probe/Nominal) : 0/51

Tot number of B1 injections : 7
Tot number of B2 injections : 7

Collisions at IP1&5: 51
B1-empty at IP1&5: 0
B2-empty at IP1&5: 0
Empty-empty at IP1&5: 3513

Collisions at IP2: 32
B1-empty at IP2: 19
B2-empty at IP2: 19
Empty-empty at IP2: 3494

Collisions at IP8: 36
B1-empty at IP8: 15
B2-empty at IP8: 15
Empty-empty at IP8: 3498

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
111,1,-41.18
9051,8941,-41.18
17991,17881,-41.18
26931,26821,-41.18
101,1,-37.43
111,11,-37.43
9041,8941,-37.43
9051,8951,-37.43
17981,17881,-37.43
17991,17891,-37.43
26921,26821,-37.43
26931,26831,-37.43
91,1,-33.69
101,11,-33.69
111,21,-33.69
9031,8941,-33.69
9041,8951,-33.69
9051,8961,-33.69
17971,17881,-33.69
17981,17891,-33.69
17991,17901,-33.69
26911,26821,-33.69
26921,26831,-33.69
26931,26841,-33.69
81,1,-29.95
91,11,-29.95
101,21,-29.95
111,31,-29.95
9021,8941,-29.95
9031,8951,-29.95
9041,8961,-29.95
9051,8971,-29.95
17961,17881,-29.95
17971,17891,-29.95
17981,17901,-29.95
17991,17911,-29.95
26901,26821,-29.95
26911,26831,-29.95
26921,26841,-29.95
26931,26851,-29.95
71,1,-26.2
81,11,-26.2
91,21,-26.2
101,31,-26.2
111,41,-26.2
9011,8941,-26.2
9021,8951,-26.2
9031,8961,-26.2
9041,8971,-26.2
9051,8981,-26.2
17951,17881,-26.2
17961,17891,-26.2
17971,17901,-26.2
17981,17911,-26.2
17991,17921,-26.2
26891,26821,-26.2
26901,26831,-26.2
26911,26841,-26.2
26921,26851,-26.2
26931,26861,-26.2
61,1,-22.46
71,11,-22.46
81,21,-22.46
91,31,-22.46
101,41,-22.46
111,51,-22.46
9001,8941,-22.46
9011,8951,-22.46
9021,8961,-22.46
9031,8971,-22.46
9041,8981,-22.46
9051,8991,-22.46
17941,17881,-22.46
17951,17891,-22.46
17961,17901,-22.46
17971,17911,-22.46
17981,17921,-22.46
17991,17931,-22.46
26881,26821,-22.46
26891,26831,-22.46
26901,26841,-22.46
26911,26851,-22.46
26921,26861,-22.46
26931,26871,-22.46
51,1,-18.72
61,11,-18.72
71,21,-18.72
81,31,-18.72
91,41,-18.72
101,51,-18.72
111,61,-18.72
8991,8941,-18.72
9001,8951,-18.72
9011,8961,-18.72
9021,8971,-18.72
9031,8981,-18.72
9041,8991,-18.72
9051,9001,-18.72
17931,17881,-18.72
17941,17891,-18.72
17951,17901,-18.72
17961,17911,-18.72
17971,17921,-18.72
17981,17931,-18.72
17991,17941,-18.72
26871,26821,-18.72
26881,26831,-18.72
26891,26841,-18.72
26901,26851,-18.72
26911,26861,-18.72
26921,26871,-18.72
26931,26881,-18.72
41,1,-14.97
51,11,-14.97
61,21,-14.97
71,31,-14.97
81,41,-14.97
91,51,-14.97
101,61,-14.97
111,71,-14.97
8981,8941,-14.97
8991,8951,-14.97
9001,8961,-14.97
9011,8971,-14.97
9021,8981,-14.97
9031,8991,-14.97
9041,9001,-14.97
9051,9011,-14.97
17921,17881,-14.97
17931,17891,-14.97
17941,17901,-14.97
17951,17911,-14.97
17961,17921,-14.97
17971,17931,-14.97
17981,17941,-14.97
17991,17951,-14.97
26861,26821,-14.97
26871,26831,-14.97
26881,26841,-14.97
26891,26851,-14.97
26901,26861,-14.97
26911,26871,-14.97
26921,26881,-14.97
26931,26891,-14.97
31,1,-11.23
41,11,-11.23
51,21,-11.23
61,31,-11.23
71,41,-11.23
81,51,-11.23
91,61,-11.23
101,71,-11.23
111,81,-11.23
8971,8941,-11.23
8981,8951,-11.23
8991,8961,-11.23
9001,8971,-11.23
9011,8981,-11.23
9021,8991,-11.23
9031,9001,-11.23
9041,9011,-11.23
9051,9021,-11.23
17911,17881,-11.23
17921,17891,-11.23
17931,17901,-11.23
17941,17911,-11.23
17951,17921,-11.23
17961,17931,-11.23
17971,17941,-11.23
17981,17951,-11.23
17991,17961,-11.23
26851,26821,-11.23
26861,26831,-11.23
26871,26841,-11.23
26881,26851,-11.23
26891,26861,-11.23
26901,26871,-11.23
26911,26881,-11.23
26921,26891,-11.23
26931,26901,-11.23
21,1,-7.49
31,11,-7.49
41,21,-7.49
51,31,-7.49
61,41,-7.49
71,51,-7.49
81,61,-7.49
91,71,-7.49
101,81,-7.49
111,91,-7.49
8961,8941,-7.49
8971,8951,-7.49
8981,8961,-7.49
