INJECTION SCHEME : 25ns_601b_589_522_540_48bpi15inj_bcms

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	1,		0,		1,		0,	1
2,	1,	ring_2,	1,		0,		1,		0,	1
3,	2,	ring_1,	401,		25,		12,		0,	1
4,	2,	ring_2,	401,		25,		12,		0,	1
5,	3,	ring_1,	911,		25,		12,		0,	1
6,	3,	ring_2,	1311,		25,		12,		0,	1
7,	4,	ring_1,	1821,		25,		48,		0,	1
8,	4,	ring_2,	1821,		25,		48,		0,	1
9,	5,	ring_1,	2651,		25,		48,		0,	1
10,	5,	ring_2,	2651,		25,		48,		0,	1
11,	6,	ring_1,	3481,		25,		48,		0,	1
12,	6,	ring_2,	3481,		25,		48,		0,	1
13,	7,	ring_1,	10761,		25,		48,		0,	1
14,	7,	ring_2,	10761,		25,		48,		0,	1
15,	8,	ring_1,	11591,		25,		48,		0,	1
16,	8,	ring_2,	11591,		25,		48,		0,	1
17,	9,	ring_1,	12421,		25,		48,		0,	1
18,	9,	ring_2,	12421,		25,		48,		0,	1
19,	10,	ring_1,	19701,		25,		48,		0,	1
20,	10,	ring_2,	19701,		25,		48,		0,	1
21,	11,	ring_1,	20531,		25,		48,		0,	1
22,	11,	ring_2,	20531,		25,		48,		0,	1
23,	12,	ring_1,	21361,		25,		48,		0,	1
24,	12,	ring_2,	21361,		25,		48,		0,	1
25,	13,	ring_1,	28641,		25,		48,		0,	1
26,	13,	ring_2,	28641,		25,		48,		0,	1
27,	14,	ring_1,	29471,		25,		48,		0,	1
28,	14,	ring_2,	29471,		25,		48,		0,	1
29,	15,	ring_1,	30301,		25,		48,		0,	1
30,	15,	ring_2,	30301,		25,		48,		0,	1
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/601
Tot number of B2 bunches(probe/Nominal) : 0/601

Tot number of B1 injections : 15
Tot number of B2 injections : 15

Collisions at IP1&5: 589
B1-empty at IP1&5: 12
B2-empty at IP1&5: 12
Empty-empty at IP1&5: 2951

Collisions at IP2: 522
B1-empty at IP2: 79
B2-empty at IP2: 79
Empty-empty at IP2: 2884

Collisions at IP8: 540
B1-empty at IP8: 61
B2-empty at IP8: 61
Empty-empty at IP8: 2902

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1991,1821,-63.64
2001,1831,-63.64
2011,1841,-63.64
2021,1851,-63.64
2031,1861,-63.64
2041,1871,-63.64
2051,1881,-63.64
2061,1891,-63.64
2071,1901,-63.64
2081,1911,-63.64
2091,1921,-63.64
2101,1931,-63.64
2111,1941,-63.64
2121,1951,-63.64
2131,1961,-63.64
2141,1971,-63.64
2151,1981,-63.64
2161,1991,-63.64
2171,2001,-63.64
2181,2011,-63.64
2191,2021,-63.64
2201,2031,-63.64
2211,2041,-63.64
2221,2051,-63.64
2231,2061,-63.64
2241,2071,-63.64
2251,2081,-63.64
2261,2091,-63.64
2271,2101,-63.64
2281,2111,-63.64
2291,2121,-63.64
2821,2651,-63.64
2831,2661,-63.64
2841,2671,-63.64
2851,2681,-63.64
2861,2691,-63.64
2871,2701,-63.64
2881,2711,-63.64
2891,2721,-63.64
2901,2731,-63.64
2911,2741,-63.64
2921,2751,-63.64
2931,2761,-63.64
2941,2771,-63.64
2951,2781,-63.64
2961,2791,-63.64
2971,2801,-63.64
2981,2811,-63.64
2991,2821,-63.64
3001,2831,-63.64
3011,2841,-63.64
3021,2851,-63.64
3031,2861,-63.64
3041,2871,-63.64
3051,2881,-63.64
3061,2891,-63.64
3071,2901,-63.64
3081,2911,-63.64
3091,2921,-63.64
3101,2931,-63.64
3111,2941,-63.64
3121,2951,-63.64
3651,3481,-63.64
3661,3491,-63.64
3671,3501,-63.64
3681,3511,-63.64
3691,3521,-63.64
3701,3531,-63.64
3711,3541,-63.64
3721,3551,-63.64
3731,3561,-63.64
3741,3571,-63.64
3751,3581,-63.64
3761,3591,-63.64
3771,3601,-63.64
3781,3611,-63.64
3791,3621,-63.64
3801,3631,-63.64
3811,3641,-63.64
3821,3651,-63.64
3831,3661,-63.64
3841,3671,-63.64
3851,3681,-63.64
3861,3691,-63.64
3871,3701,-63.64
3881,3711,-63.64
3891,3721,-63.64
3901,3731,-63.64
3911,3741,-63.64
3921,3751,-63.64
3931,3761,-63.64
3941,3771,-63.64
3951,3781,-63.64
10931,10761,-63.64
10941,10771,-63.64
10951,10781,-63.64
10961,10791,-63.64
10971,10801,-63.64
10981,10811,-63.64
10991,10821,-63.64
11001,10831,-63.64
11011,10841,-63.64
11021,10851,-63.64
11031,10861,-63.64
11041,10871,-63.64
11051,10881,-63.64
11061,10891,-63.64
11071,10901,-63.64
11081,10911,-63.64
11091,10921,-63.64
11101,10931,-63.64
11111,10941,-63.64
11121,10951,-63.64
11131,10961,-63.64
11141,10971,-63.64
11151,10981,-63.64
11161,10991,-63.64
11171,11001,-63.64
11181,11011,-63.64
11191,11021,-63.64
11201,11031,-63.64
11211,11041,-63.64
11221,11051,-63.64
11231,11061,-63.64
11761,11591,-63.64
11771,11601,-63.64
11781,11611,-63.64
11791,11621,-63.64
11801,11631,-63.64
11811,11641,-63.64
11821,11651,-63.64
11831,11661,-63.64
11841,11671,-63.64
11851,11681,-63.64
11861,11691,-63.64
11871,11701,-63.64
11881,11711,-63.64
11891,11721,-63.64
11901,11731,-63.64
11911,11741,-63.64
11921,11751,-63.64
11931,11761,-63.64
11941,11771,-63.64
11951,11781,-63.64
11961,11791,-63.64
11971,11801,-63.64
11981,11811,-63.64
11991,11821,-63.64
12001,11831,-63.64
12011,11841,-63.64
12021,11851,-63.64
12031,11861,-63.64
12041,11871,-63.64
12051,11881,-63.64
12061,11891,-63.64
12591,12421,-63.64
12601,12431,-63.64
12611,12441,-63.64
12621,12451,-63.64
12631,12461,-63.64
12641,12471,-63.64
12651,12481,-63.64
12661,12491,-63.64
12671,12501,-63.64
12681,12511,-63.64
12691,12521,-63.64
12701,12531,-63.64
12711,12541,-63.64
12721,12551,-63.64
12731,12561,-63.64
12741,12571,-63.64
12751,12581,-63.64
12761,12591,-63.64
12771,12601,-63.64
12781,12611,-63.64
12791,12621,-63.64
12801,12631,-63.64
12811,12641,-63.64
12821,12651,-63.64
12831,12661,-63.64
12841,12671,-63.64
12851,12681,-63.64
12861,12691,-63.64
12871,12701,-63.64
12881,12711,-63.64
12891,12721,-63.64
19871,19701,-63.64
19881,19711,-63.64
19891,19721,-63.64
19901,19731,-63.64
19911,19741,-63.64
19921,19751,-63.64
19931,19761,-63.64
19941,19771,-63.64
19951,19781,-63.64
19961,19791,-63.64
19971,19801,-63.64
19981,19811,-63.64
19991,19821,-63.64
20001,19831,-63.64
20011,19841,-63.64
20021,19851,-63.64
20031,19861,-63.64
20041,19871,-63.64
20051,19881,-63.64
20061,19891,-63.64
20071,19901,-63.64
20081,19911,-63.64
20091,19921,-63.64
20101,19931,-63.64
20111,19941,-63.64
20121,19951,-63.64
20131,19961,-63.64
20141,19971,-63.64
20151,19981,-63.64
20161,19991,-63.64
20171,20001,-63.64
20701,20531,-63.64
20711,20541,-63.64
20721,20551,-63.64
20731,20561,-63.64
20741,20571,-63.64
20751,20581,-63.64
20761,20591,-63.64
20771,20601,-63.64
20781,20611,-63.64
20791,20621,-63.64
20801,20631,-63.64
20811,20641,-63.64
20821,20651,-63.64
20831,20661,-63.64
20841,20671,-63.64
20851,20681,-63.64
20861,20691,-63.64
20871,20701,-63.64
20881,20711,-63.64
20891,20721,-63.64
20901,20731,-63.64
20911,20741,-63.64
20921,20751,-63.64
20931,20761,-63.64
20941,20771,-63.64
20951,20781,-63.64
20961,20791,-63.64
20971,20801,-63.64
20981,20811,-63.64
20991,20821,-63.64
21001,20831,-63.64
21531,21361,-63.64
21541,21371,-63.64
21551,21381,-63.64
21561,21391,-63.64
21571,21401,-63.64
21581,21411,-63.64
21591,21421,-63.64
21601,21431,-63.64
21611,21441,-63.64
21621,21451,-63.64
21631,21461,-63.64
21641,21471,-63.64
21651,21481,-63.64
21661,21491,-63.64
21671,21501,-63.64
21681,21511,-63.64
21691,21521,-63.64
21701,21531,-63.64
21711,21541,-63.64
21721,21551,-63.64
21731,21561,-63.64
21741,21571,-63.64
21751,21581,-63.64
21761,21591,-63.64
21771,21601,-63.64
21781,21611,-63.64
21791,21621,-63.64
21801,21631,-63.64
21811,21641,-63.64
21821,21651,-63.64
21831,21661,-63.64
28811,28641,-63.64
28821,28651,-63.64
28831,28661,-63.64
28841,28671,-63.64
28851,28681,-63.64
28861,28691,-63.64
28871,28701,-63.64
28881,28711,-63.64
28891,28721,-63.64
28901,28731,-63.64
28911,28741,-63.64
28921,28751,-63.64
28931,28761,-63.64
28941,28771,-63.64
28951,28781,-63.64
28961,28791,-63.64
28971,28801,-63.64
28981,28811,-63.64
28991,28821,-63.64
29001,28831,-63.64
29011,28841,-63.64
29021,28851,-63.64
29031,28861,-63.64
29041,28871,-63.64
29051,28881,-63.64
29061,28891,-63.64
29071,28901,-63.64
29081,28911,-63.64
29091,28921,-63.64
29101,28931,-63.64
29111,28941,-63.64
29641,29471,-63.64
29651,29481,-63.64
29661,29491,-63.64
29671,29501,-63.64
29681,29511,-63.64
29691,29521,-63.64
29701,29531,-63.64
29711,29541,-63.64
29721,29551,-63.64
29731,29561,-63.64
29741,29571,-63.64
29751,29581,-63.64
29761,29591,-63.64
29771,29601,-63.64
29781,29611,-63.64
29791,29621,-63.64
29801,29631,-63.64
29811,29641,-63.64
29821,29651,-63.64
29831,29661,-63.64
29841,29671,-63.64
29851,29681,-63.64
29861,29691,-63.64
29871,29701,-63.64
29881,29711,-63.64
29891,29721,-63.64
29901,29731,-63.64
29911,29741,-63.64
29921,29751,-63.64
29931,29761,-63.64
29941,29771,-63.64
30471,30301,-63.64
30481,30311,-63.64
30491,30321,-63.64
30501,30331,-63.64
30511,30341,-63.64
30521,30351,-63.64
30531,30361,-63.64
30541,30371,-63.64
30551,30381,-63.64
30561,30391,-63.64
30571,30401,-63.64
30581,30411,-63.64
30591,30421,-63.64
30601,30431,-63.64
30611,30441,-63.64
30621,30451,-63.64
30631,30461,-63.64
30641,30471,-63.64
30651,30481,-63.64
30661,30491,-63.64
30671,30501,-63.64
30681,30511,-63.64
30691,30521,-63.64
30701,30531,-63.64
30711,30541,-63.64
30721,30551,-63.64
30731,30561,-63.64
30741,30571,-63.64
30751,30581,-63.64
30761,30591,-63.64
30771,30601,-63.64
1981,1821,-59.89
1991,1831,-59.89
2001,1841,-59.89
2011,1851,-59.89
2021,1861,-59.89
2031,1871,-59.89
2041,1881,-59.89
2051,1891,-59.89
2061,1901,-59.89
2071,1911,-59.89
2081,1921,-59.89
2091,1931,-59.89
2101,1941,-59.89
2111,1951,-59.89
2121,1961,-59.89
2131,1971,-59.89
2141,1981,-59.89
2151,1991,-59.89
2161,2001,-59.89
2171,2011,-59.89
2181,2021,-59.89
2191,2031,-59.89
2201,2041,-59.89
2211,2051,-59.89
2221,2061,-59.89
2231,2071,-59.89
2241,2081,-59.89
2251,2091,-59.89
2261,2101,-59.89
2271,2111,-59.89
2281,2121,-59.89
2291,2131,-59.89
2811,2651,-59.89
2821,2661,-59.89
2831,2671,-59.89
2841,2681,-59.89
2851,2691,-59.89
2861,2701,-59.89
2871,2711,-59.89
2881,2721,-59.89
2891,2731,-59.89
2901,2741,-59.89
2911,2751,-59.89
2921,2761,-59.89
2931,2771,-59.89
2941,2781,-59.89
2951,2791,-59.89
2961,2801,-59.89
2971,2811,-59.89
2981,2821,-59.89
2991,2831,-59.89
3001,2841,-59.89
3011,2851,-59.89
3021,2861,-59.89
3031,2871,-59.89
3041,2881,-59.89
3051,2891,-59.89
3061,2901,-59.89
3071,2911,-59.89
3081,2921,-59.89
3091,2931,-59.89
3101,2941,-59.89
3111,2951,-59.89
3121,2961,-59.89
3641,3481,-59.89
3651,3491,-59.89
3661,3501,-59.89
3671,3511,-59.89
3681,3521,-59.89
3691,3531,-59.89
3701,3541,-59.89
3711,3551,-59.89
3721,3561,-59.89
3731,3571,-59.89
3741,3581,-59.89
3751,3591,-59.89
3761,3601,-59.89
3771,3611,-59.89
3781,3621,-59.89
3791,3631,-59.89
3801,3641,-59.89
3811,3651,-59.89
3821,3661,-59.89
3831,3671,-59.89
3841,3681,-59.89
3851,3691,-59.89
3861,3701,-59.89
3871,3711,-59.89
3881,3721,-59.89
3891,3731,-59.89
3901,3741,-59.89
3911,3751,-59.89
3921,3761,-59.89
3931,3771,-59.89
3941,3781,-59.89
3951,3791,-59.89
10921,10761,-59.89
