INJECTION SCHEME : 25ns_601b_589_523_544_96bpi_11inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	1,		0,		1,		0,	1
2,	1,	ring_2,	1,		0,		1,		0,	1
3,	2,	ring_2,	1341,		25,		12,		0,	1
4,	2,	ring_1,	1871,		25,		12,		0,	1
5,	3,	ring_1,	3321,		25,		12,		0,	1
6,	3,	ring_2,	3321,		25,		12,		0,	1
7,	4,	ring_1,	5201,		25,		48,		0,	1
8,	4,	ring_2,	5201,		25,		48,		0,	1
9,	5,	ring_1,	6031,		25,		48,		1400,	2
10,	5,	ring_2,	6031,		25,		48,		1400,	2
11,	6,	ring_1,	14141,		25,		48,		0,	1
12,	6,	ring_2,	14141,		25,		48,		0,	1
13,	7,	ring_1,	14971,		25,		48,		1400,	2
14,	7,	ring_2,	14971,		25,		48,		1400,	2
15,	8,	ring_1,	23081,		25,		48,		0,	1
16,	8,	ring_2,	23081,		25,		48,		0,	1
17,	9,	ring_1,	23911,		25,		48,		1400,	2
18,	9,	ring_2,	23911,		25,		48,		1400,	2
19,	10,	ring_1,	32021,		25,		48,		0,	1
20,	10,	ring_2,	32021,		25,		48,		0,	1
21,	11,	ring_1,	32851,		25,		48,		1400,	2
22,	11,	ring_2,	32851,		25,		48,		1400,	2
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/601
Tot number of B2 bunches(probe/Nominal) : 0/601

Tot number of B1 injections : 11
Tot number of B2 injections : 11

Collisions at IP1&5: 589
B1-empty at IP1&5: 12
B2-empty at IP1&5: 12
Empty-empty at IP1&5: 2951

Collisions at IP2: 523
B1-empty at IP2: 78
B2-empty at IP2: 78
Empty-empty at IP2: 2885

Collisions at IP8: 544
B1-empty at IP8: 57
B2-empty at IP8: 57
Empty-empty at IP8: 2906

LONG RANGE COLL IN IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
5371,5201,-63.64
5381,5211,-63.64
5391,5221,-63.64
5401,5231,-63.64
5411,5241,-63.64
5421,5251,-63.64
5431,5261,-63.64
5441,5271,-63.64
5451,5281,-63.64
5461,5291,-63.64
5471,5301,-63.64
5481,5311,-63.64
5491,5321,-63.64
5501,5331,-63.64
5511,5341,-63.64
5521,5351,-63.64
5531,5361,-63.64
5541,5371,-63.64
5551,5381,-63.64
5561,5391,-63.64
5571,5401,-63.64
5581,5411,-63.64
5591,5421,-63.64
5601,5431,-63.64
5611,5441,-63.64
5621,5451,-63.64
5631,5461,-63.64
5641,5471,-63.64
5651,5481,-63.64
5661,5491,-63.64
5671,5501,-63.64
6201,6031,-63.64
6211,6041,-63.64
6221,6051,-63.64
6231,6061,-63.64
6241,6071,-63.64
6251,6081,-63.64
6261,6091,-63.64
6271,6101,-63.64
6281,6111,-63.64
6291,6121,-63.64
6301,6131,-63.64
6311,6141,-63.64
6321,6151,-63.64
6331,6161,-63.64
6341,6171,-63.64
6351,6181,-63.64
6361,6191,-63.64
6371,6201,-63.64
6381,6211,-63.64
6391,6221,-63.64
6401,6231,-63.64
6411,6241,-63.64
6421,6251,-63.64
6431,6261,-63.64
6441,6271,-63.64
6451,6281,-63.64
6461,6291,-63.64
6471,6301,-63.64
6481,6311,-63.64
6491,6321,-63.64
6501,6331,-63.64
6591,6421,-63.64
6601,6431,-63.64
6611,6441,-63.64
6621,6451,-63.64
6631,6461,-63.64
6641,6471,-63.64
6651,6481,-63.64
6661,6491,-63.64
6671,6501,-63.64
6761,6591,-63.64
6771,6601,-63.64
6781,6611,-63.64
6791,6621,-63.64
6801,6631,-63.64
6811,6641,-63.64
6821,6651,-63.64
6831,6661,-63.64
6841,6671,-63.64
6851,6681,-63.64
6861,6691,-63.64
6871,6701,-63.64
6881,6711,-63.64
6891,6721,-63.64
6901,6731,-63.64
6911,6741,-63.64
6921,6751,-63.64
6931,6761,-63.64
6941,6771,-63.64
6951,6781,-63.64
6961,6791,-63.64
6971,6801,-63.64
6981,6811,-63.64
6991,6821,-63.64
