INJECTION SCHEME : 25ns_603b_591_526_552_144bpi_9inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_2,	1,		25,		12,		0,	1
2,	1,	ring_1,	121,		25,		12,		0,	1
3,	2,	ring_1,	551,		25,		12,		0,	1
4,	2,	ring_2,	551,		25,		12,		0,	1
5,	3,	ring_1,	5761,		25,		48,		1375,	3
6,	3,	ring_2,	5761,		25,		48,		1375,	3
7,	4,	ring_1,	11021,		0,		1,		0,	1
8,	4,	ring_2,	11021,		0,		1,		0,	1
9,	5,	ring_1,	14701,		25,		48,		1375,	3
10,	5,	ring_2,	14701,		25,		48,		1375,	3
11,	6,	ring_1,	19961,		0,		1,		0,	1
12,	6,	ring_2,	19961,		0,		1,		0,	1
13,	7,	ring_1,	23641,		25,		48,		1375,	3
14,	7,	ring_2,	23641,		25,		48,		1375,	3
15,	8,	ring_1,	28901,		0,		1,		0,	1
16,	8,	ring_2,	28901,		0,		1,		0,	1
17,	9,	ring_1,	32581,		25,		48,		1375,	3
18,	9,	ring_2,	32581,		25,		48,		1375,	3
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/603
Tot number of B2 bunches(probe/Nominal) : 0/603

Tot number of B1 injections : 9
Tot number of B2 injections : 9

Collisions at IP1&5: 591
B1-empty at IP1&5: 12
B2-empty at IP1&5: 12
Empty-empty at IP1&5: 2949

Collisions at IP2: 526
B1-empty at IP2: 77
B2-empty at IP2: 77
Empty-empty at IP2: 2884

Collisions at IP8: 552
B1-empty at IP8: 51
B2-empty at IP8: 51
Empty-empty at IP8: 2910

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
171,1,-63.64
181,11,-63.64
191,21,-63.64
201,31,-63.64
211,41,-63.64
221,51,-63.64
231,61,-63.64
5931,5761,-63.64
5941,5771,-63.64
5951,5781,-63.64
5961,5791,-63.64
5971,5801,-63.64
5981,5811,-63.64
5991,5821,-63.64
6001,5831,-63.64
6011,5841,-63.64
6021,5851,-63.64
6031,5861,-63.64
6041,5871,-63.64
6051,5881,-63.64
6061,5891,-63.64
6071,5901,-63.64
6081,5911,-63.64
6091,5921,-63.64
6101,5931,-63.64
6111,5941,-63.64
6121,5951,-63.64
6131,5961,-63.64
6141,5971,-63.64
6151,5981,-63.64
6161,5991,-63.64
6171,6001,-63.64
6181,6011,-63.64
6191,6021,-63.64
6201,6031,-63.64
6211,6041,-63.64
6221,6051,-63.64
6231,6061,-63.64
6311,6141,-63.64
6321,6151,-63.64
6331,6161,-63.64
6341,6171,-63.64
6351,6181,-63.64
6361,6191,-63.64
6371,6201,-63.64
6381,6211,-63.64
6391,6221,-63.64
6401,6231,-63.64
6481,6311,-63.64
6491,6321,-63.64
6501,6331,-63.64
6511,6341,-63.64
6521,6351,-63.64
6531,6361,-63.64
6541,6371,-63.64
6551,6381,-63.64
6561,6391,-63.64
6571,6401,-63.64
6581,6411,-63.64
6591,6421,-63.64
6601,6431,-63.64
6611,6441,-63.64
6621,6451,-63.64
6631,6461,-63.64
6641,6471,-63.64
6651,6481,-63.64
6661,6491,-63.64
6671,6501,-63.64
6681,6511,-63.64
6691,6521,-63.64
6701,6531,-63.64
6711,6541,-63.64
6721,6551,-63.64
6731,6561,-63.64
6741,6571,-63.64
6751,6581,-63.64
6761,6591,-63.64
6771,6601,-63.64
6781,6611,-63.64
6861,6691,-63.64
6871,6701,-63.64
6881,6711,-63.64
6891,6721,-63.64
6901,6731,-63.64
6911,6741,-63.64
6921,6751,-63.64
6931,6761,-63.64
6941,6771,-63.64
6951,6781,-63.64
7031,6861,-63.64
7041,6871,-63.64
7051,6881,-63.64
7061,6891,-63.64
7071,6901,-63.64
7081,6911,-63.64
7091,6921,-63.64
7101,6931,-63.64
7111,6941,-63.64
7121,6951,-63.64
7131,6961,-63.64
7141,6971,-63.64
7151,6981,-63.64
7161,6991,-63.64
7171,7001,-63.64
7181,7011,-63.64
7191,7021,-63.64
7201,7031,-63.64
7211,7041,-63.64
7221,7051,-63.64
7231,7061,-63.64
7241,7071,-63.64
7251,7081,-63.64
7261,7091,-63.64
7271,7101,-63.64
7281,7111,-63.64
7291,7121,-63.64
7301,7131,-63.64
7311,7141,-63.64
7321,7151,-63.64
7331,7161,-63.64
14871,14701,-63.64
14881,14711,-63.64
14891,14721,-63.64
14901,14731,-63.64
14911,14741,-63.64
14921,14751,-63.64
14931,14761,-63.64
14941,14771,-63.64
14951,14781,-63.64
14961,14791,-63.64
14971,14801,-63.64
14981,14811,-63.64
14991,14821,-63.64
15001,14831,-63.64
15011,14841,-63.64
15021,14851,-63.64
15031,14861,-63.64
15041,14871,-63.64
15051,14881,-63.64
15061,14891,-63.64
15071,14901,-63.64
15081,14911,-63.64
15091,14921,-63.64
15101,14931,-63.64
15111,14941,-63.64
15121,14951,-63.64
15131,14961,-63.64
15141,14971,-63.64
15151,14981,-63.64
15161,14991,-63.64
15171,15001,-63.64
15251,15081,-63.64
15261,15091,-63.64
15271,15101,-63.64
15281,15111,-63.64
15291,15121,-63.64
15301,15131,-63.64
15311,15141,-63.64
15321,15151,-63.64
15331,15161,-63.64
15341,15171,-63.64
15421,15251,-63.64
15431,15261,-63.64
15441,15271,-63.64
15451,15281,-63.64
15461,15291,-63.64
15471,15301,-63.64
15481,15311,-63.64
15491,15321,-63.64
15501,15331,-63.64
15511,15341,-63.64
15521,15351,-63.64
15531,15361,-63.64
15541,15371,-63.64
15551,15381,-63.64
15561,15391,-63.64
15571,15401,-63.64
15581,15411,-63.64
15591,15421,-63.64
15601,15431,-63.64
15611,15441,-63.64
15621,15451,-63.64
15631,15461,-63.64
15641,15471,-63.64
15651,15481,-63.64
15661,15491,-63.64
15671,15501,-63.64
15681,15511,-63.64
15691,15521,-63.64
15701,15531,-63.64
15711,15541,-63.64
15721,15551,-63.64
15801,15631,-63.64
15811,15641,-63.64
15821,15651,-63.64
15831,15661,-63.64
15841,15671,-63.64
15851,15681,-63.64
15861,15691,-63.64
15871,15701,-63.64
15881,15711,-63.64
15891,15721,-63.64
15971,15801,-63.64
15981,15811,-63.64
15991,15821,-63.64
16001,15831,-63.64
16011,15841,-63.64
16021,15851,-63.64
16031,15861,-63.64
16041,15871,-63.64
16051,15881,-63.64
16061,15891,-63.64
16071,15901,-63.64
16081,15911,-63.64
16091,15921,-63.64
16101,15931,-63.64
16111,15941,-63.64
16121,15951,-63.64
16131,15961,-63.64
16141,15971,-63.64
16151,15981,-63.64
16161,15991,-63.64
16171,16001,-63.64
16181,16011,-63.64
16191,16021,-63.64
16201,16031,-63.64
16211,16041,-63.64
16221,16051,-63.64
16231,16061,-63.64
16241,16071,-63.64
16251,16081,-63.64
16261,16091,-63.64
16271,16101,-63.64
23811,23641,-63.64
23821,23651,-63.64
23831,23661,-63.64
23841,23671,-63.64
23851,23681,-63.64
23861,23691,-63.64
23871,23701,-63.64
23881,23711,-63.64
23891,23721,-63.64
23901,23731,-63.64
23911,23741,-63.64
23921,23751,-63.64
23931,23761,-63.64
23941,23771,-63.64
23951,23781,-63.64
23961,23791,-63.64
23971,23801,-63.64
23981,23811,-63.64
23991,23821,-63.64
24001,23831,-63.64
24011,23841,-63.64
24021,23851,-63.64
24031,23861,-63.64
24041,23871,-63.64
24051,23881,-63.64
24061,23891,-63.64
24071,23901,-63.64
24081,23911,-63.64
24091,23921,-63.64
24101,23931,-63.64
24111,23941,-63.64
24191,24021,-63.64
24201,24031,-63.64
24211,24041,-63.64
24221,24051,-63.64
24231,24061,-63.64
24241,24071,-63.64
24251,24081,-63.64
24261,24091,-63.64
24271,24101,-63.64
24281,24111,-63.64
