INJECTION SCHEME : 25ns_656b_644_371_602_128bpi_13i8b4e

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	121,		25,		12,		0,	1
2,	1,	ring_2,	241,		25,		12,		0,	1
3,	2,	ring_1,	931,		25,		32,		0,	1
4,	2,	ring_2,	931,		25,		32,		0,	1
5,	3,	ring_1,	2621,		0,		1,		0,	1
6,	3,	ring_2,	2621,		0,		1,		0,	1
7,	4,	ring_1,	3851,		25,		32,		1275,	4
8,	4,	ring_2,	3851,		25,		32,		1275,	4
9,	5,	ring_1,	9751,		25,		32,		0,	1
10,	5,	ring_2,	9751,		25,		32,		0,	1
11,	6,	ring_1,	11561,		0,		1,		0,	1
12,	6,	ring_2,	11561,		0,		1,		0,	1
13,	7,	ring_1,	12791,		25,		32,		1275,	4
14,	7,	ring_2,	12791,		25,		32,		1275,	4
15,	8,	ring_1,	18811,		25,		32,		0,	1
16,	8,	ring_2,	18811,		25,		32,		0,	1
17,	9,	ring_1,	20501,		0,		1,		0,	1
18,	9,	ring_2,	20501,		0,		1,		0,	1
19,	10,	ring_1,	21731,		25,		32,		1275,	4
20,	10,	ring_2,	21731,		25,		32,		1275,	4
21,	11,	ring_1,	27751,		25,		32,		0,	1
22,	11,	ring_2,	27751,		25,		32,		0,	1
23,	12,	ring_1,	29441,		0,		1,		0,	1
24,	12,	ring_2,	29441,		0,		1,		0,	1
25,	13,	ring_1,	30671,		25,		32,		1275,	4
26,	13,	ring_2,	30671,		25,		32,		1275,	4
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/656
Tot number of B2 bunches(probe/Nominal) : 0/656

Tot number of B1 injections : 13
Tot number of B2 injections : 13

Collisions at IP1&5: 644
B1-empty at IP1&5: 12
B2-empty at IP1&5: 12
Empty-empty at IP1&5: 2896

Collisions at IP2: 371
B1-empty at IP2: 285
B2-empty at IP2: 285
Empty-empty at IP2: 2623

Collisions at IP8: 602
B1-empty at IP8: 54
B2-empty at IP8: 54
Empty-empty at IP8: 2854

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1101,931,-63.64
1111,941,-63.64
1121,951,-63.64
1171,1001,-63.64
1221,1051,-63.64
1231,1061,-63.64
1241,1071,-63.64
1291,1121,-63.64
1341,1171,-63.64
1351,1181,-63.64
1361,1191,-63.64
4021,3851,-63.64
4031,3861,-63.64
4041,3871,-63.64
4091,3921,-63.64
4141,3971,-63.64
4151,3981,-63.64
4161,3991,-63.64
4211,4041,-63.64
4261,4091,-63.64
4271,4101,-63.64
4281,4111,-63.64
4381,4211,-63.64
4391,4221,-63.64
4401,4231,-63.64
4411,4241,-63.64
4421,4251,-63.64
4431,4261,-63.64
4531,4361,-63.64
4541,4371,-63.64
4551,4381,-63.64
4601,4431,-63.64
4651,4481,-63.64
4661,4491,-63.64
4671,4501,-63.64
4721,4551,-63.64
4771,4601,-63.64
4781,4611,-63.64
4791,4621,-63.64
4891,4721,-63.64
4901,4731,-63.64
4911,4741,-63.64
4921,4751,-63.64
4931,4761,-63.64
4941,4771,-63.64
5041,4871,-63.64
5051,4881,-63.64
5061,4891,-63.64
5111,4941,-63.64
5161,4991,-63.64
5171,5001,-63.64
5181,5011,-63.64
5231,5061,-63.64
5281,5111,-63.64
5291,5121,-63.64
5301,5131,-63.64
5401,5231,-63.64
5411,5241,-63.64
5421,5251,-63.64
5431,5261,-63.64
5441,5271,-63.64
5451,5281,-63.64
5551,5381,-63.64
5561,5391,-63.64
5571,5401,-63.64
5621,5451,-63.64
5671,5501,-63.64
5681,5511,-63.64
5691,5521,-63.64
5741,5571,-63.64
5791,5621,-63.64
5801,5631,-63.64
5811,5641,-63.64
9921,9751,-63.64
9931,9761,-63.64
9941,9771,-63.64
9991,9821,-63.64
10041,9871,-63.64
10051,9881,-63.64
10061,9891,-63.64
10111,9941,-63.64
10161,9991,-63.64
10171,10001,-63.64
10181,10011,-63.64
12961,12791,-63.64
12971,12801,-63.64
12981,12811,-63.64
13031,12861,-63.64
13081,12911,-63.64
13091,12921,-63.64
13101,12931,-63.64
13151,12981,-63.64
13201,13031,-63.64
13211,13041,-63.64
13221,13051,-63.64
13321,13151,-63.64
13331,13161,-63.64
13341,13171,-63.64
13351,13181,-63.64
13361,13191,-63.64
13371,13201,-63.64
13471,13301,-63.64
13481,13311,-63.64
13491,13321,-63.64
13541,13371,-63.64
