INJECTION SCHEME : 25ns_686b_674_407_653_112bpi_11i8b4e

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	1,		25,		12,		0,	1
2,	1,	ring_2,	121,		25,		12,		0,	1
3,	2,	ring_1,	1111,		0,		1,		0,	1
4,	2,	ring_2,	1111,		0,		1,		0,	1
5,	3,	ring_1,	2001,		25,		56,		0,	1
6,	3,	ring_2,	2001,		25,		56,		0,	1
7,	4,	ring_1,	5511,		25,		56,		2175,	2
8,	4,	ring_2,	5511,		25,		56,		2175,	2
9,	5,	ring_1,	10941,		25,		56,		0,	1
10,	5,	ring_2,	10941,		25,		56,		0,	1
11,	6,	ring_1,	14451,		25,		56,		2175,	2
12,	6,	ring_2,	14451,		25,		56,		2175,	2
13,	7,	ring_1,	16871,		0,		1,		0,	1
14,	7,	ring_2,	16871,		0,		1,		0,	1
15,	8,	ring_1,	19881,		25,		56,		0,	1
16,	8,	ring_2,	19881,		25,		56,		0,	1
17,	9,	ring_1,	23391,		25,		56,		2175,	2
18,	9,	ring_2,	23391,		25,		56,		2175,	2
19,	10,	ring_1,	28821,		25,		56,		0,	1
20,	10,	ring_2,	28821,		25,		56,		0,	1
21,	11,	ring_1,	32331,		25,		56,		2175,	2
22,	11,	ring_2,	32331,		25,		56,		2175,	2
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/686
Tot number of B2 bunches(probe/Nominal) : 0/686

Tot number of B1 injections : 11
Tot number of B2 injections : 11

Collisions at IP1&5: 674
B1-empty at IP1&5: 12
B2-empty at IP1&5: 12
Empty-empty at IP1&5: 2866

Collisions at IP2: 407
B1-empty at IP2: 279
B2-empty at IP2: 279
Empty-empty at IP2: 2599

Collisions at IP8: 653
B1-empty at IP8: 33
B2-empty at IP8: 33
Empty-empty at IP8: 2845

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
2171,2001,-63.64
2181,2011,-63.64
2191,2021,-63.64
2241,2071,-63.64
2291,2121,-63.64
2301,2131,-63.64
2311,2141,-63.64
2361,2191,-63.64
2411,2241,-63.64
2421,2251,-63.64
2431,2261,-63.64
2481,2311,-63.64
2531,2361,-63.64
2541,2371,-63.64
2551,2381,-63.64
2601,2431,-63.64
2651,2481,-63.64
2661,2491,-63.64
2671,2501,-63.64
2721,2551,-63.64
2771,2601,-63.64
2781,2611,-63.64
2791,2621,-63.64
5681,5511,-63.64
5691,5521,-63.64
5701,5531,-63.64
5751,5581,-63.64
5801,5631,-63.64
5811,5641,-63.64
5821,5651,-63.64
5871,5701,-63.64
5921,5751,-63.64
5931,5761,-63.64
5941,5771,-63.64
5991,5821,-63.64
6041,5871,-63.64
6051,5881,-63.64
6061,5891,-63.64
6111,5941,-63.64
6161,5991,-63.64
6171,6001,-63.64
6181,6011,-63.64
6231,6061,-63.64
6281,6111,-63.64
6291,6121,-63.64
6301,6131,-63.64
6401,6231,-63.64
6411,6241,-63.64
6421,6251,-63.64
6431,6261,-63.64
6441,6271,-63.64
6451,6281,-63.64
6551,6381,-63.64
6561,6391,-63.64
6571,6401,-63.64
6621,6451,-63.64
6671,6501,-63.64
6681,6511,-63.64
6691,6521,-63.64
6741,6571,-63.64
6791,6621,-63.64
6801,6631,-63.64
6811,6641,-63.64
6861,6691,-63.64
6911,6741,-63.64
6921,6751,-63.64
6931,6761,-63.64
6981,6811,-63.64
7031,6861,-63.64
7041,6871,-63.64
7051,6881,-63.64
7101,6931,-63.64
7151,6981,-63.64
7161,6991,-63.64
7171,7001,-63.64
11111,10941,-63.64
11121,10951,-63.64
11131,10961,-63.64
11181,11011,-63.64
11231,11061,-63.64
11241,11071,-63.64
11251,11081,-63.64
11301,11131,-63.64
11351,11181,-63.64
11361,11191,-63.64
11371,11201,-63.64
11421,11251,-63.64
11471,11301,-63.64
11481,11311,-63.64
11491,11321,-63.64
11541,11371,-63.64
11591,11421,-63.64
11601,11431,-63.64
11611,11441,-63.64
11661,11491,-63.64
11711,11541,-63.64
11721,11551,-63.64
11731,11561,-63.64
14621,14451,-63.64
14631,14461,-63.64
14641,14471,-63.64
14691,14521,-63.64
14741,14571,-63.64
14751,14581,-63.64
14761,14591,-63.64
14811,14641,-63.64
14861,14691,-63.64
14871,14701,-63.64
14881,14711,-63.64
14931,14761,-63.64
14981,14811,-63.64
14991,14821,-63.64
15001,14831,-63.64
15051,14881,-63.64
15101,14931,-63.64
15111,14941,-63.64
15121,14951,-63.64
15171,15001,-63.64
15221,15051,-63.64
15231,15061,-63.64
15241,15071,-63.64
15341,15171,-63.64
15351,15181,-63.64
15361,15191,-63.64
15371,15201,-63.64
15381,15211,-63.64
15391,15221,-63.64
15491,15321,-63.64
15501,15331,-63.64
15511,15341,-63.64
15561,15391,-63.64
15611,15441,-63.64
15621,15451,-63.64
15631,15461,-63.64
15681,15511,-63.64
15731,15561,-63.64
15741,15571,-63.64
15751,15581,-63.64
15801,15631,-63.64
15851,15681,-63.64
15861,15691,-63.64
15871,15701,-63.64
15921,15751,-63.64
15971,15801,-63.64
15981,15811,-63.64
15991,15821,-63.64
16041,15871,-63.64
16091,15921,-63.64
16101,15931,-63.64
16111,15941,-63.64
20051,19881,-63.64
20061,19891,-63.64
20071,19901,-63.64
20121,19951,-63.64
20171,20001,-63.64
20181,20011,-63.64
20191,20021,-63.64
20241,20071,-63.64
20291,20121,-63.64
20301,20131,-63.64
20311,20141,-63.64
20361,20191,-63.64
20411,20241,-63.64
20421,20251,-63.64
20431,20261,-63.64
20481,20311,-63.64
20531,20361,-63.64
20541,20371,-63.64
20551,20381,-63.64
20601,20431,-63.64
20651,20481,-63.64
20661,20491,-63.64
20671,20501,-63.64
23561,23391,-63.64
23571,23401,-63.64
23581,23411,-63.64
23631,23461,-63.64
23681,23511,-63.64
23691,23521,-63.64
23701,23531,-63.64
23751,23581,-63.64
23801,23631,-63.64
23811,23641,-63.64
23821,23651,-63.64
23871,23701,-63.64
23921,23751,-63.64
23931,23761,-63.64
23941,23771,-63.64
23991,23821,-63.64
24041,23871,-63.64
24051,23881,-63.64
24061,23891,-63.64
24111,23941,-63.64
24161,23991,-63.64
24171,24001,-63.64
24181,24011,-63.64
24281,24111,-63.64
24291,24121,-63.64
24301,24131,-63.64
24311,24141,-63.64
24321,24151,-63.64
24331,24161,-63.64
24431,24261,-63.64
24441,24271,-63.64
24451,24281,-63.64
24501,24331,-63.64
24551,24381,-63.64
24561,24391,-63.64
24571,24401,-63.64
24621,24451,-63.64
24671,24501,-63.64
24681,24511,-63.64
