INJECTION SCHEME : 50ns_1284b_1272_527_652_72bpi_20inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_2,	1,		25,		12,		0,	1
2,	1,	ring_1,	121,		25,		12,		0,	1
3,	2,	ring_1,	551,		50,		24,		1375,	2
4,	2,	ring_2,	551,		50,		24,		1375,	2
5,	3,	ring_1,	1891,		50,		24,		1375,	3
6,	3,	ring_2,	1891,		50,		24,		1375,	3
7,	4,	ring_1,	3781,		50,		24,		1375,	3
8,	4,	ring_2,	3781,		50,		24,		1375,	3
9,	5,	ring_1,	5671,		50,		24,		1375,	3
10,	5,	ring_2,	5671,		50,		24,		1375,	3
11,	6,	ring_1,	7591,		50,		24,		1375,	2
12,	6,	ring_2,	7591,		50,		24,		1375,	2
13,	7,	ring_1,	8931,		50,		24,		1375,	3
14,	7,	ring_2,	8931,		50,		24,		1375,	3
15,	8,	ring_1,	10821,		50,		24,		1375,	3
16,	8,	ring_2,	10821,		50,		24,		1375,	3
17,	9,	ring_1,	12711,		50,		24,		1375,	3
18,	9,	ring_2,	12711,		50,		24,		1375,	3
19,	10,	ring_1,	14601,		50,		24,		1375,	3
20,	10,	ring_2,	14601,		50,		24,		1375,	3
21,	11,	ring_1,	16531,		50,		24,		1375,	2
22,	11,	ring_2,	16531,		50,		24,		1375,	2
23,	12,	ring_1,	17871,		50,		24,		1375,	3
24,	12,	ring_2,	17871,		50,		24,		1375,	3
25,	13,	ring_1,	19761,		50,		24,		1375,	3
26,	13,	ring_2,	19761,		50,		24,		1375,	3
27,	14,	ring_1,	21651,		50,		24,		1375,	3
28,	14,	ring_2,	21651,		50,		24,		1375,	3
29,	15,	ring_1,	23541,		50,		24,		1375,	3
30,	15,	ring_2,	23541,		50,		24,		1375,	3
31,	16,	ring_1,	25461,		50,		24,		1375,	2
32,	16,	ring_2,	25461,		50,		24,		1375,	2
33,	17,	ring_1,	26811,		50,		24,		1375,	3
34,	17,	ring_2,	26811,		50,		24,		1375,	3
35,	18,	ring_1,	28701,		50,		24,		1375,	3
36,	18,	ring_2,	28701,		50,		24,		1375,	3
37,	19,	ring_1,	30591,		50,		24,		1375,	3
38,	19,	ring_2,	30591,		50,		24,		1375,	3
39,	20,	ring_1,	32481,		50,		24,		1375,	3
40,	20,	ring_2,	32481,		50,		24,		1375,	3
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/1284
Tot number of B2 bunches(probe/Nominal) : 0/1284

Tot number of B1 injections : 20
Tot number of B2 injections : 20

Collisions at IP1&5: 1272
B1-empty at IP1&5: 12
B2-empty at IP1&5: 12
Empty-empty at IP1&5: 2268

Collisions at IP2: 527
B1-empty at IP2: 757
B2-empty at IP2: 757
Empty-empty at IP2: 1523

Collisions at IP8: 652
B1-empty at IP8: 632
B2-empty at IP8: 632
Empty-empty at IP8: 1648

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
171,1,-63.64
181,11,-63.64
191,21,-63.64
201,31,-63.64
211,41,-63.64
221,51,-63.64
231,61,-63.64
1101,931,-63.64
1121,951,-63.64
1141,971,-63.64
1161,991,-63.64
1181,1011,-63.64
2441,2271,-63.64
2461,2291,-63.64
2481,2311,-63.64
2501,2331,-63.64
2521,2351,-63.64
2991,2821,-63.64
3011,2841,-63.64
3031,2861,-63.64
3051,2881,-63.64
3071,2901,-63.64
4331,4161,-63.64
4351,4181,-63.64
4371,4201,-63.64
4391,4221,-63.64
4411,4241,-63.64
4881,4711,-63.64
4901,4731,-63.64
4921,4751,-63.64
4941,4771,-63.64
4961,4791,-63.64
6221,6051,-63.64
6241,6071,-63.64
6261,6091,-63.64
6281,6111,-63.64
6301,6131,-63.64
6771,6601,-63.64
6791,6621,-63.64
6811,6641,-63.64
6831,6661,-63.64
6851,6681,-63.64
8141,7971,-63.64
8161,7991,-63.64
8181,8011,-63.64
8201,8031,-63.64
8221,8051,-63.64
9481,9311,-63.64
9501,9331,-63.64
9521,9351,-63.64
9541,9371,-63.64
9561,9391,-63.64
10031,9861,-63.64
10051,9881,-63.64
10071,9901,-63.64
10091,9921,-63.64
10111,9941,-63.64
11371,11201,-63.64
11391,11221,-63.64
11411,11241,-63.64
11431,11261,-63.64
11451,11281,-63.64
11921,11751,-63.64
11941,11771,-63.64
11961,11791,-63.64
11981,11811,-63.64
12001,11831,-63.64
13261,13091,-63.64
13281,13111,-63.64
13301,13131,-63.64
13321,13151,-63.64
13341,13171,-63.64
13811,13641,-63.64
13831,13661,-63.64
13851,13681,-63.64
13871,13701,-63.64
13891,13721,-63.64
15151,14981,-63.64
15171,15001,-63.64
15191,15021,-63.64
15211,15041,-63.64
15231,15061,-63.64
15701,15531,-63.64
15721,15551,-63.64
15741,15571,-63.64
15761,15591,-63.64
15781,15611,-63.64
17081,16911,-63.64
17101,16931,-63.64
17121,16951,-63.64
17141,16971,-63.64
17161,16991,-63.64
18421,18251,-63.64
18441,18271,-63.64
18461,18291,-63.64
18481,18311,-63.64
18501,18331,-63.64
18971,18801,-63.64
18991,18821,-63.64
19011,18841,-63.64
19031,18861,-63.64
19051,18881,-63.64
20311,20141,-63.64
20331,20161,-63.64
20351,20181,-63.64
20371,20201,-63.64
20391,20221,-63.64
20861,20691,-63.64
20881,20711,-63.64
20901,20731,-63.64
20921,20751,-63.64
20941,20771,-63.64
22201,22031,-63.64
22221,22051,-63.64
22241,22071,-63.64
22261,22091,-63.64
22281,22111,-63.64
22751,22581,-63.64
22771,22601,-63.64
22791,22621,-63.64
22811,22641,-63.64
22831,22661,-63.64
24091,23921,-63.64
24111,23941,-63.64
24131,23961,-63.64
24151,23981,-63.64
24171,24001,-63.64
24641,24471,-63.64
24661,24491,-63.64
24681,24511,-63.64
24701,24531,-63.64
24721,24551,-63.64
26011,25841,-63.64
26031,25861,-63.64
26051,25881,-63.64
26071,25901,-63.64
26091,25921,-63.64
27361,27191,-63.64
27381,27211,-63.64
27401,27231,-63.64
27421,27251,-63.64
27441,27271,-63.64
27911,27741,-63.64
27931,27761,-63.64
27951,27781,-63.64
27971,27801,-63.64
27991,27821,-63.64
29251,29081,-63.64
29271,29101,-63.64
29291,29121,-63.64
29311,29141,-63.64
29331,29161,-63.64
29801,29631,-63.64
29821,29651,-63.64
29841,29671,-63.64
29861,29691,-63.64
29881,29711,-63.64
31141,30971,-63.64
31161,30991,-63.64
31181,31011,-63.64
31201,31031,-63.64
31221,31051,-63.64
31691,31521,-63.64
31711,31541,-63.64
31731,31561,-63.64
31751,31581,-63.64
31771,31601,-63.64
33031,32861,-63.64
33051,32881,-63.64
33071,32901,-63.64
33091,32921,-63.64
33111,32941,-63.64
33581,33411,-63.64
33601,33431,-63.64
33621,33451,-63.64
33641,33471,-63.64
33661,33491,-63.64
161,1,-59.89
171,11,-59.89
181,21,-59.89
191,31,-59.89
201,41,-59.89
211,51,-59.89
221,61,-59.89
231,71,-59.89
711,551,-59.89
731,571,-59.89
751,591,-59.89
771,611,-59.89
791,631,-59.89
811,651,-59.89
831,671,-59.89
851,691,-59.89
871,711,-59.89
891,731,-59.89
911,751,-59.89
931,771,-59.89
951,791,-59.89
971,811,-59.89
991,831,-59.89
1011,851,-59.89
1261,1101,-59.89
1281,1121,-59.89
1301,1141,-59.89
1321,1161,-59.89
1341,1181,-59.89
1361,1201,-59.89
1381,1221,-59.89
1401,1241,-59.89
1421,1261,-59.89
1441,1281,-59.89
1461,1301,-59.89
1481,1321,-59.89
1501,1341,-59.89
1521,1361,-59.89
1541,1381,-59.89
1561,1401,-59.89
2051,1891,-59.89
2071,1911,-59.89
2091,1931,-59.89
2111,1951,-59.89
2131,1971,-59.89
