INJECTION SCHEME : Multi_57b_56b_25_20_24_4bpi_15inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	1,		0,		1,		0,	1
2,	1,	ring_2,	1,		0,		1,		1000,	4
3,	2,	ring_2,	1601,		0,		1,		1000,	4
4,	2,	ring_1,	2211,		0,		1,		1000,	4
5,	3,	ring_2,	3201,		0,		1,		1000,	4
6,	3,	ring_1,	3811,		0,		1,		1000,	4
7,	4,	ring_1,	5581,		0,		1,		1000,	4
8,	5,	ring_1,	7181,		0,		1,		1000,	4
9,	6,	ring_1,	8941,		0,		1,		1000,	4
10,	4,	ring_2,	8941,		0,		1,		1000,	4
11,	7,	ring_1,	11081,		0,		1,		1000,	4
12,	5,	ring_2,	11081,		0,		1,		1000,	4
13,	8,	ring_1,	12711,		0,		1,		1000,	4
14,	9,	ring_1,	14491,		0,		1,		1000,	4
15,	6,	ring_2,	14491,		0,		1,		1000,	4
16,	10,	ring_1,	16091,		0,		1,		1000,	4
17,	7,	ring_2,	16091,		0,		1,		1000,	4
18,	11,	ring_1,	17991,		0,		1,		1000,	4
19,	12,	ring_1,	20021,		0,		1,		1000,	4
20,	8,	ring_2,	20021,		0,		1,		1000,	4
21,	13,	ring_1,	21621,		0,		1,		1000,	4
22,	9,	ring_2,	21621,		0,		1,		1000,	4
23,	10,	ring_2,	23221,		0,		1,		1000,	4
24,	14,	ring_1,	23431,		0,		1,		1000,	4
25,	11,	ring_2,	25001,		0,		1,		1000,	4
26,	12,	ring_2,	26901,		0,		1,		1000,	4
27,	13,	ring_2,	28911,		0,		1,		1000,	4
28,	14,	ring_2,	30511,		0,		1,		1000,	4
29,	15,	ring_1,	32161,		0,		1,		1000,	4
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/57
Tot number of B2 bunches(probe/Nominal) : 0/57

Tot number of B1 injections : 15
Tot number of B2 injections : 14

Collisions at IP1&5: 25
B1-empty at IP1&5: 32
B2-empty at IP1&5: 31
Empty-empty at IP1&5: 3476

Collisions at IP2: 20
B1-empty at IP2: 37
B2-empty at IP2: 36
Empty-empty at IP2: 3471

Collisions at IP8: 24
B1-empty at IP8: 33
B2-empty at IP8: 32
Empty-empty at IP8: 3475

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
8941,8941,0
9341,9341,0
9741,9741,0
10141,10141,0
11081,11081,0
11481,11481,0
11881,11881,0
12281,12281,0
14491,14491,0
14891,14891,0
15291,15291,0
15691,15691,0
16091,16091,0
16491,16491,0
16891,16891,0
17291,17291,0
20021,20021,0
20421,20421,0
20821,20821,0
21221,21221,0
21621,21621,0
22021,22021,0
22421,22421,0
22821,22821,0

LONG RANGE COLL IN IRIP2
RFbucketbeam1,RFbucketbeam2,z-pos/m
2211,11081,-14.97
2611,11481,-14.97
3011,11881,-14.97
3411,12281,-14.97
20021,28911,-7.49
20421,29311,-7.49
20821,29711,-7.49
21221,30111,-7.49
21621,30511,-7.49
22021,30911,-7.49
22421,31311,-7.49
22821,31711,-7.49
5581,14491,0
5981,14891,0
6381,15291,0
6781,15691,0
7181,16091,0
7581,16491,0
7981,16891,0
8381,17291,0
12711,21621,0
13111,22021,0
13511,22421,0
13911,22821,0
16091,25001,0
16491,25401,0
16891,25801,0
17291,26201,0
17991,26901,0
18391,27301,0
18791,27701,0
19191,28101,0
1,8941,11.23
11081,20021,11.23
11481,20421,11.23
11881,20821,11.23
12281,21221,11.23

LONG RANGE COLL IN IRIP5
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
8941,8941,0
9341,9341,0
9741,9741,0
10141,10141,0
11081,11081,0
11481,11481,0
11881,11881,0
12281,12281,0
14491,14491,0
14891,14891,0
15291,15291,0
15691,15691,0
16091,16091,0
16491,16491,0
16891,16891,0
17291,17291,0
20021,20021,0
20421,20421,0
20821,20821,0
21221,21221,0
21621,21621,0
22021,22021,0
22421,22421,0
22821,22821,0

LONG RANGE COLL IN IRIP8
RFbucketbeam1,RFbucketbeam2,z-pos/m
12711,3601,-63.64
13111,4001,-63.64
13511,4401,-63.64
11081,2001,-52.41
11481,2401,-52.41
11881,2801,-52.41
12281,3201,-52.41
17991,8941,-41.18
18391,9341,-41.18
18791,9741,-41.18
19191,10141,-41.18
2211,28911,0
2611,29311,0
3011,29711,0
3411,30111,0
3811,30511,0
4211,30911,0
4611,31311,0
5011,31711,0
8941,1,0
9341,401,0
9741,801,0
10141,1201,0
20021,11081,0
20421,11481,0
20821,11881,0
21221,12281,0
23431,14491,0
23831,14891,0
24231,15291,0
24631,15691,0
32161,23221,0
32561,23621,0
32961,24021,0
33361,24421,0


LONG RANGE FOR BEAM 1
