m_mchamp (GeV)  e_reco    xs (pb)           effLumi       expBG		eBGerr		obs	obsLim   expLim   expLo1   expHi1   expLo2   expHi2

400             0.00029   9.4800000000E+01  13673.9       0.000100001     11.0001	2         4.14517   10.2071   3.92455   22.6774   3.00936   44.1361
600             0.00043   9.0700000000E+00  13673.9       0.000100001     6.29994 	2       4.14636   6.82396   3.84376   14.4478   2.96766   26.3354
800             0.00065   1.4700000000E+00  13673.9       0.000100001     6.29994 	2       4.14636   6.82396   3.84376   14.4478   2.96766   26.3354
1000            0.00060   3.2000000000E-01  13673.9       0.000100001     4.5001  	2       4.26748   6.63319   3.89309   12.719    2.94312   22.384
1200            0.00045   8.3600000000E-02  13673.9       0.000100001     1.6     	2       4.40397   3.22653   3.04434   7.14972   3.01267   11.2207
1400            0.00070   2.4700000000E-02  13673.9       0.000100001     1.6     	2       4.40397   3.22653   3.04434   7.14972   3.01267   11.2207
1600            0.00076   7.9600000000E-03  13673.9       0.820006        1.88001 	1       3.0573    4.08104   3.01062   6.83644   3.15691   10.9603
1800            0.00064   2.7300000000E-03  13673.9       0.580009        1.34001 	1       3.06734   3.8032    3.00029   5.25702   3.02308   9.80304
2000            0.00064   9.7400000000E-04  13673.9       0.509999        1.18001 	1       2.9764    4.31277   3.0661    4.54533   2.93371   5.70474
2200            0.00085   3.5800000000E-04  13673.9       0.509999        1.18001 	1       2.9764    4.31277   3.0661    4.54533   2.93371   5.70474
2400            0.00080   1.3400000000E-04  13673.9       0.380003        0.879991      1   3.03956   4.07522   3.03956   5.73164   2.99965   5.5651
2600            0.00091   5.0300000000E-05  13673.9       0.380003        0.879991      1   3.03956   4.07522   3.03956   5.73164   2.99965   5.5651
