m_mchamp (GeV)  e_reco    xs (pb)           effLumi       expBG		eBGerr		obs	obsLim   expLim   expLo1   expHi1   expLo2   expHi2

400             0.00029   9.4800000000E+01  13673.9       0.000100001     11.0001	1          3.0349    9.5210    4.0027    22.1085   2.9912    43.0547
600             0.00043   9.0700000000E+00  13673.9       0.000100001     5.69994 	1        3.1287    6.4118    3.3427    13.8727   2.9345    26.1433
800             0.00061   1.4700000000E+00  13673.9       0.000100001     5.69994 	1        3.0986    6.3822    3.2499    13.8602   2.9364    26.5892
1000            0.00058   3.2000000000E-01  13673.9       0.000100001     4.6001  	1        3.2395    5.8267    3.0274    11.7992   2.9897    21.9727
1200            0.00043   8.3600000000E-02  13673.9       0.000100001     1.5     	1        3.2809    3.5819    2.8938    6.0989    2.8541    10.8204
1400            0.00066   2.4700000000E-02  13673.9       0.000100001     1.5     	1        3.2141    3.7466    2.9314    6.1189    2.8981    10.4712
1600            0.00074   7.9600000000E-03  13673.9       0.760006        1.92001 	0        2.6600    4.0106    2.9806    6.3976    2.8417    9.7868
1800            0.00064   2.7300000000E-03  13673.9       0.560009        1.41001 	0        2.6729    3.7972    2.9621    5.4554    2.8626    8.4837
2000            0.00062   9.7400000000E-04  13673.9       0.509999        1.27001 	0        2.6995    3.6436    2.9415    5.3497    2.8211    8.1987
2200            0.00083   3.5800000000E-04  13673.9       0.509999        1.27001 	0        2.6814    3.7168    2.9196    5.4578    2.8161    8.0621
2400            0.00078   1.3400000000E-04  13673.9       0.380003        0.939991      0    2.7647    3.6769    2.9571    3.3451    2.7492    7.3482
2600            0.00088   5.0300000000E-05  13673.9       0.380003        0.939991      0    2.6692    3.3593    2.9025    4.9963    2.7891    3.8165
