m_mchamp (GeV) e_reco    xs (pb)           effLumi expBG    eBGerr   obs obsLim    expLim   expLo1  expHi1  expLo2    expHi2

100            0.00056   3.7779440000E+00  1396.78 30.0002  16.0998  0   2.85828   34.051   17.1095 51.0941 6.38565   74.8734 
200            0.01015   2.9865270000E-01  1396.78 24.0002  12.4999  0   3.1189    27.773   14.4306 41.1999 6.15896   60.3697 
400            0.01092   2.3099720000E-02  1396.78 10.9999  4.19998  0   3.08533   13.3957  8.02482 18.8602 4.72389   27.3213 
600            0.00975   3.4651160000E-03  1396.78 10.0003  4.19998  0   3.01483   12.8983  7.47193 18.3949 4.20225   26.8006 
800            0.00990   7.9696270000E-04  1396.78 6.30027  2.3      0   3.11707   9.33669  5.64487 13.0965 3.67189   19.058  
1000           0.00960   2.4031900000E-04  1396.78 5.2      1.89998  0   3.1427    8.42508  5.12922 11.7993 3.44405   17.1659 
1400           0.01015   2.6633380000E-05  1396.78 4.49998  1.59998  0   3.25378   7.96871  4.93597 11.0989 3.38402   16.1315 
1800           0.01025   3.9346950000E-06  1396.78 4.49998  1.59998  0   3.25378   7.96871  4.93597 11.0989 3.38402   16.1315 
2200           0.01152   5.5863300000E-07  1396.78 4.49998  1.59998  0   3.25378   7.96871  4.93597 11.0989 3.38402   16.1315 
2600           0.01296   7.3973180000E-08  1396.78 4.49998  1.59998  0   3.25378   7.96871  4.93597 11.0989 3.38402   16.1315 
