m_mchamp (GeV)  e_reco          xs (pb)           effLumi         expBG           eBGerr          obs          obsLim          expLim             expLo1          expHi1          expLo2          expHi2

100             0.00056         3.7779440000E+00  22309.8         61.0004         29.2986         0               2.99927         61.1965         32.7565         90.0398         12.0726         128.687         
200             0.01015         2.9865270000E-01  16242.7         49.9994         23.5328         0               2.97546         50.0572         26.8045         73.5634         10.332          105.489         
400             0.01092         2.3099720000E-02  16122.5         28.9999         12.3832         0               2.69714         29.8542         17.124          42.739          7.60821         60.888          
600             0.00975         3.4651160000E-03  15070.7         22.0003         8.99            0               2.97302         23.1156         13.5015         32.9085         6.89516         47.2635         
800             0.00990         7.9696270000E-04  15899.4         16.3004         6.2468          0               3.03894         17.7219         10.5498         25.0283         5.79801         36.034          
1000            0.00960         2.4031900000E-04  15070.7         11.4            4.557           0               3.06396         13.9534         8.2733          19.7394         4.73595         28.595          
1400            0.01015         2.6633380000E-05  15070.7         10.7            4.3084          0               2.93121         13.3259         7.79027         18.9653         4.46535         27.5913         
1800            0.01025         3.9346950000E-06  15617.6         9.9             3.8286          0               3.08044         12.4504         7.39248         17.6002         4.39362         25.549          
2200            0.01152         5.5863300000E-07  15070.7         9.9             3.8286          0               3.08044         12.4504         7.39248         17.6002         4.39362         25.549          
2600            0.01296         7.3973180000E-08  14500.9         9.4999          3.74            0               3.08289         12.2159         7.25313         17.2587         4.27664         25.0847         
